strike,call_dex,put_dex,net_dex
2800.0,0.0,-4337.88,-4337.88
3000.0,0.0,-1598.56,-1598.56
3200.0,0.0,-4149.13,-4149.13
3400.0,0.0,-944.82,-944.82
3600.0,0.0,-801.44,-801.44
3800.0,0.0,-3672.21,-3672.21
4000.0,0.0,-35433.63,-35433.63
4200.0,0.0,-312463.59,-312463.59
4400.0,650417.0,-74849.9,575567.1
4600.0,0.0,-260902.17,-260902.17
4800.0,0.0,-427728.02,-427728.02
5000.0,650417.0,-941974.28,-291557.28
5200.0,0.0,-797302.67,-797302.67
5300.0,0.0,0.0,0.0
5400.0,650417.0,-1169602.55,-519185.55
5500.0,650417.0,-2017614.76,-1367197.76
5600.0,0.0,-18917463.78,-18917463.78
5700.0,0.0,-2840117.97,-2840117.97
5725.0,0.0,-767746.07,-767746.07
5750.0,0.0,-354737.15,-354737.15
5775.0,0.0,-614695.8,-614695.8
5800.0,646655.98,-4206393.62,-3559737.64
5825.0,0.0,-593184.82,-593184.82
5850.0,0.0,-661511.05,-661511.05
5875.0,0.0,-736214.44,-736214.44
5900.0,0.0,-4059157.91,-4059157.91
5925.0,0.0,-1510343.67,-1510343.67
5950.0,0.0,-4359847.15,-4359847.15
5975.0,0.0,-2950924.78,-2950924.78
6000.0,5143381083.63,-59192830.23,5084188253.4
6025.0,0.0,-3715452.79,-3715452.79
6050.0,642609.68,-31378585.27,-30735975.59
6075.0,0.0,-2180696.38,-2180696.38
6080.0,0.0,0.0,0.0
6090.0,0.0,0.0,0.0
6100.0,7657291.33,-13609913.92,-5952622.59
6110.0,0.0,-281980.36,-281980.36
6120.0,0.0,-633071.68,-633071.68
6125.0,0.0,-9952682.66,-9952682.66
6130.0,0.0,-153747.4,-153747.4
6140.0,0.0,-664996.57,-664996.57
6150.0,0.0,-11487825.12,-11487825.12
6160.0,0.0,-882364.81,-882364.81
6170.0,0.0,-1702425.37,-1702425.37
6175.0,1266412.31,-10726395.19,-9459982.88
6180.0,0.0,-4568126.45,-4568126.45
6190.0,0.0,-5547478.86,-5547478.86
6200.0,1257974.0,-43249183.29,-41991209.3
6210.0,0.0,-4560084.1,-4560084.1
6215.0,0.0,0.0,0.0
6220.0,0.0,-2042679.39,-2042679.39
6225.0,0.0,-30973379.46,-30973379.46
6230.0,0.0,-5759279.71,-5759279.71
6235.0,0.0,-2230376.44,-2230376.44
6240.0,0.0,-4364075.13,-4364075.13
6245.0,0.0,-1522174.63,-1522174.63
6250.0,620244.43,-45705067.31,-45084822.87
6255.0,0.0,-3489309.21,-3489309.21
6260.0,0.0,-8650803.56,-8650803.56
6265.0,0.0,-3984991.56,-3984991.56
6270.0,616030.39,-11495368.82,-10879338.43
6275.0,0.0,-21391767.2,-21391767.2
6280.0,0.0,-7330005.64,-7330005.64
6285.0,0.0,-4372610.57,-4372610.57
6290.0,0.0,-28292893.15,-28292893.15
6295.0,0.0,-3918482.37,-3918482.37
6300.0,1208535.79,-115001957.82,-113793422.03
6305.0,0.0,-35748203.58,-35748203.58
6310.0,0.0,-22919421.11,-22919421.11
6315.0,0.0,-3673457.46,-3673457.46
6320.0,0.0,-14950303.26,-14950303.26
6325.0,0.0,-67138407.97,-67138407.97
6330.0,0.0,-12146121.44,-12146121.44
6335.0,0.0,-12241070.7,-12241070.7
6340.0,0.0,-24672888.81,-24672888.81
6345.0,0.0,-15687201.28,-15687201.28
6350.0,16712568.52,-69909703.44,-53197134.92
6355.0,0.0,-77188465.19,-77188465.19
6360.0,0.0,-89492736.03,-89492736.03
6365.0,0.0,-77358942.58,-77358942.58
6370.0,0.0,-32156000.48,-32156000.48
6375.0,1106490.63,-85561647.79,-84455157.16
6380.0,0.0,-59197989.35,-59197989.35
6385.0,0.0,-69127615.51,-69127615.51
6390.0,0.0,-76126600.2,-76126600.2
6395.0,0.0,-497964472.51,-497964472.51
6400.0,5752305.32,-1800179973.47,-1794427668.16
6405.0,3109707.34,-30266084.14,-27156376.81
6410.0,511343.5,-70675064.08,-70163720.58
6415.0,1526265.73,-31686278.27,-30160012.54
6420.0,496645.36,-83970356.29,-83473710.93
6425.0,977870.82,-1577313375.77,-1576335504.95
6430.0,0.0,-63165423.86,-63165423.86
6435.0,472060.68,-43542023.64,-43069962.95
6440.0,0.0,-84331108.13,-84331108.13
6445.0,0.0,-62334029.55,-62334029.55
6450.0,12895210.49,-1866318641.63,-1853423431.14
6455.0,0.0,-42202847.14,-42202847.14
6460.0,0.0,-1857900176.38,-1857900176.38
6465.0,0.0,-74804088.92,-74804088.92
6470.0,405593.71,-97304775.61,-96899181.9
6475.0,0.0,-193170251.46,-193170251.46
6480.0,11167174.75,-86689799.85,-75522625.1
