strike,call_dex,put_dex,net_dex
2800.0,0.0,-2057.46,-2057.46
3000.0,0.0,-81921.97,-81921.97
3200.0,0.0,-74996.33,-74996.33
3400.0,0.0,-141777.0,-141777.0
3600.0,0.0,-174604.03,-174604.03
3800.0,0.0,-280652.68,-280652.68
4000.0,0.0,-243260.24,-243260.24
4200.0,0.0,-73690.61,-73690.61
4400.0,672887.0,-55301.4,617585.6
4600.0,0.0,-123925.35,-123925.35
4800.0,0.0,-199302.24,-199302.24
5000.0,672887.0,-225297.03,447589.97
5200.0,0.0,-1484983.34,-1484983.34
5400.0,672887.0,-764543.43,-91656.43
5500.0,0.0,-1127859.02,-1127859.02
5600.0,672887.0,-2276510.26,-1603623.26
5700.0,0.0,-1288243.95,-1288243.95
5725.0,0.0,-31618.41,-31618.41
5750.0,0.0,-72394.11,-72394.11
5775.0,0.0,-219109.29,-219109.29
5800.0,0.0,-4510288.15,-4510288.15
5825.0,0.0,-282039.57,-282039.57
5850.0,0.0,-299716.63,-299716.63
5875.0,0.0,-167036.78,-167036.78
5900.0,0.0,-903941.47,-903941.47
5925.0,0.0,-244329.86,-244329.86
5950.0,0.0,-408243.66,-408243.66
5975.0,0.0,-243352.17,-243352.17
6000.0,0.0,-3445319.45,-3445319.45
6025.0,0.0,-487787.43,-487787.43
6050.0,0.0,-599812.09,-599812.09
6075.0,0.0,-3205198.07,-3205198.07
6100.0,0.0,-1013977.59,-1013977.59
6110.0,0.0,-29496.61,-29496.61
6120.0,0.0,-168867.57,-168867.57
6125.0,10093305.0,-515655.21,9577649.79
6130.0,0.0,-167529.43,-167529.43
6140.0,0.0,-173904.26,-173904.26
6150.0,0.0,-2332617.37,-2332617.37
6160.0,0.0,-175510.59,-175510.59
6170.0,0.0,-397055.56,-397055.56
6175.0,0.0,-918013.48,-918013.48
6180.0,0.0,-179468.16,-179468.16
6190.0,0.0,-297816.92,-297816.92
6200.0,3364435.0,-2994840.36,369594.64
6210.0,0.0,-117572.65,-117572.65
6220.0,0.0,-6371160.86,-6371160.86
6225.0,0.0,-9616416.08,-9616416.08
6230.0,0.0,-172970.26,-172970.26
6235.0,0.0,-328329.12,-328329.12
6240.0,0.0,-1668004.38,-1668004.38
6245.0,0.0,-459681.81,-459681.81
6250.0,0.0,-1980976.09,-1980976.09
6255.0,0.0,-140143.02,-140143.02
6260.0,0.0,-112581.36,-112581.36
6265.0,0.0,-137873.27,-137873.27
6270.0,0.0,-1243394.95,-1243394.95
6275.0,0.0,-5752739.75,-5752739.75
6280.0,0.0,-233092.68,-233092.68
6285.0,0.0,-340147.91,-340147.91
6290.0,0.0,-480334.82,-480334.82
6295.0,0.0,-138202.36,-138202.36
6300.0,0.0,-4882992.65,-4882992.65
6305.0,0.0,-158288.96,-158288.96
6310.0,0.0,-272370.78,-272370.78
6315.0,0.0,-249744.53,-249744.53
6320.0,0.0,-659194.95,-659194.95
6325.0,2691548.0,-11466097.29,-8774549.29
6330.0,0.0,-673465.94,-673465.94
6335.0,0.0,-257204.08,-257204.08
6340.0,16822175.0,-1435997.03,15386177.97
6345.0,0.0,-272802.43,-272802.43
6350.0,0.0,-5151849.32,-5151849.32
6355.0,0.0,-375838.91,-375838.91
6360.0,0.0,-2468552.3,-2468552.3
6365.0,0.0,-615958.36,-615958.36
6370.0,0.0,-19246805.36,-19246805.36
6375.0,2018661.0,-21577277.48,-19558616.48
6380.0,0.0,-1110165.21,-1110165.21
6385.0,0.0,-1721564.59,-1721564.59
6390.0,0.0,-2145046.36,-2145046.36
6395.0,0.0,-1292183.36,-1292183.36
6400.0,672887.0,-10582125.41,-9909238.41
6405.0,0.0,-593333.16,-593333.16
6410.0,0.0,-3226886.74,-3226886.74
6415.0,0.0,-1135034.3,-1135034.3
6420.0,0.0,-5805888.71,-5805888.71
6425.0,0.0,-54497140.8,-54497140.8
6430.0,0.0,-9772633.31,-9772633.31
6435.0,2018661.0,-2416158.8,-397497.8
6440.0,16822175.0,-2747783.81,14074391.19
6445.0,0.0,-1485181.57,-1485181.57
6450.0,672887.0,-69444010.78,-68771123.78
6455.0,0.0,-1683720.99,-1683720.99
6460.0,0.0,-28297831.85,-28297831.85
6465.0,0.0,-1683516.73,-1683516.73
6470.0,3364435.0,-6185687.03,-2821252.03
6475.0,3364435.0,-4586390.7,-1221955.7
6480.0,672887.0,-6886497.97,-6213610.97
6485.0,0.0,-2679666.61,-2679666.61
6490.0,0.0,-8108748.29,-8108748.29
6495.0,672887.0,-81925656.25,-81252769.25
6500.0,6055983.0,-26337652.09,-20281669.09
6505.0,0.0,-99509514.0,-99509514.0
6510.0,672887.0,-4274131.99,-3601244.99
6515.0,672887.0,-3301974.19,-2629087.19
6520.0,6728870.0,-4433577.36,2295292.64
6525.0,672887.0,-6663600.69,-5990713.69
6530.0,7401757.0,-57894664.57,-50492907.57
6535.0,0.0,-4490879.34,-4490879.34
6540.0,8074644.0,-17932378.57,-9857734.57
6545.0,672887.0,-17466396.84,-16793509.84
6550.0,12784853.0,-34980904.95,-22196051.95
6555.0,10766192.0,-9460460.46,1305731.54
6560.0,8074644.0,-61623334.89,-53548690.89
6565.0,14130627.0,-10596166.4,3534460.6
6570.0,5383096.0,-25906466.41,-20523370.41
6575.0,3342657.71,-27042494.35,-23699836.63
6580.0,4710209.0,-40190056.91,-35479847.91
6585.0,32404035.19,-23151999.12,9252036.08
6590.0,4599457.43,-30865182.25,-26265724.82
6595.0,22032851.31,-43630487.5,-21597636.19
6600.0,702833710.72,-222324660.34,480509050.38
6605.0,12455827.23,-36791197.49,-24335370.27
6610.0,27194072.6,-44456862.47,-17262789.87
6615.0,8791034.05,-41938146.0,-33147111.95
6620.0,15521069.74,-71129941.4,-55608871.66
6625.0,20201427.03,-50569413.81,-30367986.78
6630.0,641003241.28,-207603343.32,433399897.96
6635.0,24363310.03,-18178900.69,6184409.34
6640.0,96494248.7,-81825720.7,14668528.0
6645.0,55189841.46,-35434141.54,19755699.93
6650.0,164984658.0,-158503570.78,6481087.22
6655.0,34553930.59,-24183582.49,10370348.1
6660.0,596839030.37,-391631497.09,205207533.28
6665.0,36436876.8,-84519116.5,-48082239.7
6670.0,42747680.55,-124207898.08,-81460217.53
6675.0,73313817.34,-118725370.9,-45411553.56
6680.0,84862195.16,-102255716.18,-17393521.02
6685.0,68630936.6,-111688393.92,-43057457.32
6690.0,81656529.56,-72506812.62,9149716.94
6695.0,109977531.4,-62602570.8,47374960.6
6700.0,236784724.54,-502253618.6,-265468894.06
6705.0,97228182.63,-47320958.5,49907224.13
6710.0,63568999.46,-60302453.15,3266546.32
6715.0,76026839.0,-42668669.78,33358169.21
6720.0,74108509.98,-99789207.59,-25680697.6
6725.0,248039204.2,-364025863.36,-115986659.16
6730.0,74710676.64,-92121937.34,-17411260.7
6735.0,41651281.83,-72652562.17,-31001280.34
6740.0,45662506.76,-59229280.63,-13566773.87
6745.0,76545093.61,-127175434.74,-50630341.13
6750.0,214965532.28,-339547564.35,-124582032.07
6755.0,49236297.4,-95348635.27,-46112337.88
6760.0,131327766.65,-194459585.67,-63131819.02
6765.0,37510342.93,-89048049.36,-51537706.43
6770.0,217968183.8,-334140319.69,-116172135.89
6775.0,49722197.01,-231397452.84,-181675255.83
6780.0,122902388.93,-97773317.49,25129071.44
6785.0,107794134.04,-35346919.24,72447214.8
6790.0,93309232.27,-176557485.92,-83248253.66
6795.0,53581294.88,-64049336.21,-10468041.33
6800.0,135017240.96,-597208280.91,-462191039.95
6805.0,51430326.05,-25138624.86,26291701.19
6810.0,55131959.85,-86472697.52,-31340737.67
6815.0,19722204.25,-37328824.14,-17606619.88
6820.0,36920148.61,-41950835.95,-5030687.34
6825.0,21542048.06,-381555628.21,-360013580.15
6830.0,17640909.14,-53953017.35,-36312108.2
6835.0,13321441.65,-197427275.95,-184105834.3
6840.0,21414276.11,-68181703.64,-46767427.53
6845.0,9443227.09,-446459715.19,-437016488.1
6850.0,23142466.26,-775181368.7,-752038902.44
6855.0,6206342.51,-29905735.88,-23699393.37
6860.0,5798933.05,-160830841.31,-155031908.27
6865.0,3158065.57,-29043337.53,-25885271.95
6870.0,11487985.46,-121119933.9,-109631948.43
6875.0,20458271.44,-148190004.65,-127731733.21
6880.0,5947563.12,-49417951.93,-43470388.81
6885.0,5983664.17,-17128744.56,-11145080.4
6890.0,6155136.15,-32150763.52,-25995627.37
6895.0,1983168.98,-5718762.21,-3735593.23
6900.0,6741655.1,-500166477.73,-493424822.63
6905.0,1728334.99,-10817768.85,-9089433.87
6910.0,3009738.53,-9555356.23,-6545617.7
6915.0,2736306.73,-5256358.06,-2520051.32
6920.0,3108793.46,-15759067.09,-12650273.63
6925.0,2273295.65,-29592896.11,-27319600.46
6930.0,1633388.94,-24149486.24,-22516097.3
6935.0,1707605.33,-651269.37,1056335.96
6940.0,934730.88,-73451514.27,-72516783.39
6945.0,1730501.68,-67865072.93,-66134571.26
6950.0,9547492.9,-41543375.33,-31995882.43
6955.0,592101.46,-655444.18,-63342.72
6960.0,1913888.17,-11137497.57,-9223609.39
6965.0,629377.87,0.0,629377.87
6970.0,2072224.27,-10490468.37,-8418244.1
6975.0,8453931.19,-60608881.64,-52154950.45
6980.0,8504785.31,-3280737.24,5224048.08
6985.0,1158846.28,-656375.99,502470.29
6990.0,2059438.53,-1971366.02,88072.51
6995.0,2163866.21,-1971999.99,191866.22
7000.0,2610377.47,-17796432.47,-15186055.0
7005.0,997722.55,-2630971.05,-1633248.51
7010.0,1641868.74,-659999.92,981868.82
7015.0,1359319.18,-3928765.44,-2569446.26
7020.0,1518514.13,-3296421.72,-1777907.59
7025.0,1845148.95,-3287529.07,-1442380.13
7030.0,1085310.06,-2634549.47,-1549239.41
7040.0,1688733.76,-7253762.48,-5565028.72
7050.0,999425.9,-2633458.16,-1634032.26
7060.0,618594.48,0.0,618594.48
7070.0,301246.94,0.0,301246.94
7075.0,306734.43,-2625038.84,-2318304.41
7080.0,403501.35,0.0,403501.35
7090.0,1160816.42,-657908.75,502907.67
7100.0,576885.93,-1313340.12,-736454.19
7110.0,511965.6,0.0,511965.6
7120.0,219357.62,-658714.46,-439356.84
7125.0,750054.35,0.0,750054.35
7150.0,664621.52,0.0,664621.52
7175.0,238976.45,0.0,238976.45
7200.0,1018379.68,0.0,1018379.68
7225.0,227091.01,0.0,227091.01
7250.0,71465.54,0.0,71465.54
7275.0,68017.2,0.0,68017.2
7300.0,164354.91,0.0,164354.91
