strike,call_dex,put_dex,net_dex
2000.0,669408.81,0.0,669408.81
2200.0,669758.0,-62.63,669695.37
2400.0,0.0,0.0,0.0
2600.0,669191.22,-2130.23,667061.0
2800.0,0.0,-5803.27,-5803.27
3000.0,1338839.8,-87927.62,1250912.18
3200.0,1338004.15,-130109.81,1207894.34
3400.0,669152.38,-151131.81,518020.57
3600.0,0.0,-140917.43,-140917.43
3800.0,0.0,-158948.29,-158948.29
4000.0,668763.24,-564386.66,104376.58
4200.0,0.0,-1280666.24,-1280666.24
4400.0,1336033.78,-481401.93,854631.85
4600.0,0.0,-506362.92,-506362.92
4800.0,667507.84,-2224064.48,-1556556.64
5000.0,583414833.85,-1354327.92,582060505.93
5100.0,2002613.25,-327261.93,1675351.32
5200.0,667698.92,-1582259.28,-914560.37
5300.0,11343967.9,-3580069.38,7763898.52
5400.0,666537.22,-1970657.92,-1304120.7
5425.0,0.0,-74398.09,-74398.09
5450.0,2001686.24,-2136258.05,-134571.81
5475.0,0.0,-100936.83,-100936.83
5500.0,1336105.63,-1446202.62,-110096.99
5525.0,0.0,-35675.68,-35675.68
5550.0,0.0,-2226796.05,-2226796.05
5575.0,0.0,-235402.37,-235402.37
5600.0,1329506.79,-2102480.26,-772973.47
5625.0,664337.01,-220806.14,443530.86
5650.0,98428657.22,-31474274.27,66954382.95
5675.0,0.0,-4183447.23,-4183447.23
5700.0,66522467.62,-7499568.16,59022899.46
5725.0,0.0,-1689567.86,-1689567.86
5750.0,664473.31,-26455555.07,-25791081.77
5775.0,0.0,-4374781.59,-4374781.59
5800.0,0.0,-2029944.79,-2029944.79
5825.0,0.0,-2004866.37,-2004866.37
5850.0,119702479.66,-687673.0,119014806.66
5875.0,666044.82,-520320.93,145723.88
5900.0,2658221.79,-2573613.82,84607.97
5925.0,0.0,-807546.32,-807546.32
5930.0,3313182.38,-24292.04,3288890.33
5940.0,0.0,-120205.97,-120205.97
5950.0,1328563.43,-579328.41,749235.01
5960.0,0.0,-37788.39,-37788.39
5970.0,0.0,-46097.25,-46097.25
5975.0,1988190.99,-1123840.83,864350.17
5980.0,0.0,-66768.73,-66768.73
5990.0,149245114.78,-25439.31,149219675.48
6000.0,2143865739.69,-5329627.39,2138536112.3
6010.0,0.0,-97140.33,-97140.33
6020.0,0.0,-67621.07,-67621.07
6025.0,0.0,-446333.36,-446333.36
6030.0,0.0,-56774.01,-56774.01
6040.0,0.0,-187482.96,-187482.96
6050.0,72249634.28,-3826829.94,68422804.35
6060.0,0.0,-129569.08,-129569.08
6070.0,0.0,-58951.07,-58951.07
6075.0,0.0,-1815167.41,-1815167.41
6080.0,0.0,-453520.03,-453520.03
6090.0,0.0,-3582151.37,-3582151.37
6100.0,5296959.52,-9057527.98,-3760568.46
