strike,call_dex,put_dex,net_dex
1400.0,7272595.0,-18375.77,7254219.23
1600.0,0.0,-8727.67,-8727.67
1800.0,2644580.0,-6744.49,2637835.51
2000.0,46941295.0,-52025.0,46889270.0
2200.0,11900610.0,-24421.77,11876188.23
2400.0,0.0,-13514.62,-13514.62
2600.0,13884045.0,-49946.18,13834098.82
2800.0,1322290.0,-62876.14,1259413.86
3000.0,21156640.0,-192138.14,20964501.86
3200.0,0.0,-413094.57,-413094.57
3300.0,0.0,-134381.38,-134381.38
3400.0,661145.0,-382596.94,278548.06
3500.0,3966870.0,-108668.72,3858201.28
3600.0,0.0,-538260.13,-538260.13
3700.0,661115.52,-86986.42,574129.1
3800.0,0.0,-371245.64,-371245.64
3900.0,5949371.83,-234227.07,5715144.76
4000.0,7921630.84,-315555.24,7606075.6
4050.0,0.0,-5876.25,-5876.25
4100.0,21808007.67,-74569.04,21733438.63
4150.0,21811983.34,-48132.63,21763850.7
4200.0,0.0,-347781.84,-347781.84
4250.0,0.0,-38909.16,-38909.16
4300.0,1982608.78,-64193.03,1918415.75
4350.0,1980657.97,-114069.78,1866588.19
4400.0,659911.16,-235274.49,424636.68
4450.0,0.0,-164087.86,-164087.86
4500.0,0.0,-199676.62,-199676.62
4550.0,0.0,-72052.48,-72052.48
4600.0,0.0,-139721.18,-139721.18
4650.0,0.0,-79032.11,-79032.11
4700.0,660371.32,-98038.63,562332.69
4750.0,29018848.2,-410265.26,28608582.94
4800.0,8582871.3,-136954.73,8445916.57
4850.0,660346.38,-216243.61,444102.78
4900.0,30368942.41,-168755.86,30200186.55
4950.0,0.0,-584146.08,-584146.08
5000.0,101005359.64,-1175877.31,99829482.32
5025.0,0.0,-111042.46,-111042.46
5050.0,2639394.93,-613703.41,2025691.51
5075.0,0.0,-113068.59,-113068.59
5100.0,2638100.57,-666921.82,1971178.75
5125.0,0.0,-31722.79,-31722.79
5150.0,3959719.27,-77415.19,3882304.08
5175.0,0.0,-1938752.57,-1938752.57
5200.0,27006890.25,-1330375.57,25676514.68
5225.0,0.0,-58493.0,-58493.0
5250.0,659731.92,-323433.24,336298.68
5275.0,0.0,-2948786.0,-2948786.0
5300.0,0.0,-1233885.77,-1233885.77
5325.0,658675.67,-1395758.45,-737082.78
5350.0,0.0,-4011570.34,-4011570.34
5360.0,0.0,-51868.28,-51868.28
5370.0,0.0,-76274.02,-76274.02
5375.0,1316874.02,-89273.75,1227600.27
5380.0,0.0,-63294.38,-63294.38
5390.0,0.0,-166991.95,-166991.95
5400.0,1983435.0,-4436976.58,-2453541.58
5410.0,0.0,-90969.09,-90969.09
5420.0,0.0,-38161.31,-38161.31
5425.0,0.0,-1413565.35,-1413565.35
5430.0,0.0,-106157.69,-106157.69
5440.0,0.0,-40587.22,-40587.22
5450.0,6611450.0,-2179713.35,4431736.65
5460.0,0.0,-139295.39,-139295.39
5470.0,0.0,-136312.39,-136312.39
5475.0,0.0,-132319.3,-132319.3
5480.0,0.0,-86293.37,-86293.37
5490.0,3305725.0,-186203.22,3119521.78
5500.0,33718395.0,-1493685.19,32224709.81
5510.0,0.0,-104671.1,-104671.1
5520.0,3305725.0,-77863.22,3227861.78
5525.0,12561755.0,-4909499.28,7652255.72
5530.0,0.0,-221301.52,-221301.52
5540.0,0.0,-181359.46,-181359.46
5550.0,13222900.0,-315026.96,12907873.04
5560.0,2644580.0,-103494.15,2541085.85
5570.0,0.0,-2636372.56,-2636372.56
5575.0,0.0,-8156986.17,-8156986.17
5580.0,0.0,-67060.25,-67060.25
5590.0,0.0,-43788.29,-43788.29
5600.0,40329845.0,-6655276.41,33674568.59
5610.0,0.0,-83582.17,-83582.17
5620.0,0.0,-141277.59,-141277.59
5625.0,0.0,-24262471.46,-24262471.46
5630.0,3305725.0,-91306.63,3214418.37
5640.0,661145.0,-100347.14,560797.86
5650.0,0.0,-9532509.48,-9532509.48
5660.0,466107225.0,-101681.05,466005543.95
5670.0,0.0,-65418.79,-65418.79
5675.0,1322290.0,-11513966.13,-10191676.13
5680.0,0.0,-149909.1,-149909.1
5690.0,0.0,-177238.45,-177238.45
5700.0,15206335.0,-1376223.78,13830111.22
5710.0,0.0,-199250.87,-199250.87
5720.0,9256030.0,-253015.87,9003014.13
5725.0,3305725.0,-20686457.94,-17380732.94
5730.0,1983435.0,-406800.55,1576634.45
5740.0,0.0,-561600.67,-561600.67
5750.0,3966870.0,-4232288.59,-265418.59
5760.0,661145.0,-193831.77,467313.23
5770.0,2644580.0,-131253.32,2513326.68
5775.0,661145.0,-252806.19,408338.81
5780.0,0.0,-180839.91,-180839.91
5790.0,0.0,-510858.55,-510858.55
5800.0,76692820.0,-5702638.62,70990181.38
5810.0,2644580.0,-395729.19,2248850.81
5820.0,1322290.0,-330526.22,991763.78
5825.0,0.0,-377690.39,-377690.39
5830.0,0.0,-281662.36,-281662.36
5840.0,661145.0,-446701.81,214443.19
5850.0,661145.0,-2809447.07,-2148302.07
5860.0,661145.0,-357639.76,303505.24
5870.0,0.0,-2103444.08,-2103444.08
5875.0,0.0,-2207901.97,-2207901.97
5880.0,0.0,-1783984.71,-1783984.71
5890.0,0.0,-192443.37,-192443.37
5900.0,28429235.0,-2624907.31,25804327.69
5910.0,0.0,-491163.34,-491163.34
5920.0,0.0,-518212.23,-518212.23
5925.0,19834350.0,-1091804.37,18742545.63
5930.0,128923275.0,-480674.1,128442600.9
5940.0,5950305.0,-265727.35,5684577.65
5950.0,661145.0,-1414261.64,-753116.64
5960.0,2644580.0,-666927.11,1977652.89
5970.0,0.0,-552664.52,-552664.52
5975.0,15206335.0,-2299701.21,12906633.79
5980.0,0.0,-772475.19,-772475.19
5990.0,0.0,-1068269.83,-1068269.83
6000.0,96527170.0,-24415495.52,72111674.48
6010.0,3966870.0,-513706.93,3453163.07
6020.0,0.0,-678097.48,-678097.48
6025.0,0.0,-24621306.78,-24621306.78
6030.0,0.0,-213472.91,-213472.91
6035.0,0.0,-385281.71,-385281.71
6040.0,4628015.0,-543046.86,4084968.14
6045.0,0.0,-489629.05,-489629.05
6050.0,2644580.0,-3318560.38,-673980.38
6055.0,0.0,-224266.95,-224266.95
6060.0,199665790.0,-2933523.2,196732266.8
6065.0,0.0,-133724.91,-133724.91
6070.0,0.0,-801276.95,-801276.95
6075.0,661145.0,-1264571.6,-603426.6
6080.0,0.0,-8840890.81,-8840890.81
6085.0,0.0,-677252.01,-677252.01
6090.0,1322290.0,-616265.21,706024.79
6095.0,0.0,-696848.41,-696848.41
6100.0,2644580.0,-6561940.12,-3917360.12
6105.0,0.0,-1546333.64,-1546333.64
6110.0,0.0,-875757.51,-875757.51
6115.0,0.0,-899391.64,-899391.64
6120.0,0.0,-1163218.94,-1163218.94
6125.0,3974803740.0,-15132659.56,3959671080.44
6130.0,1322290.0,-841794.75,480495.25
6135.0,0.0,-1367308.42,-1367308.42
6140.0,661145.0,-817965.53,-156820.53
6145.0,0.0,-804838.13,-804838.13
6150.0,31073815.0,-4049419.37,27024395.63
6155.0,0.0,-337404.23,-337404.23
6160.0,0.0,-1569863.07,-1569863.07
6165.0,0.0,-417481.45,-417481.45
6170.0,0.0,-2020404.73,-2020404.73
6175.0,1322290.0,-18759034.66,-17436744.66
6180.0,661145.0,-1559561.74,-898416.74
6185.0,0.0,-507948.16,-507948.16
6190.0,661145.0,-3169685.63,-2508540.63
6195.0,0.0,-547398.53,-547398.53
6200.0,19834350.0,-34324505.06,-14490155.06
6205.0,0.0,-1267264.33,-1267264.33
6210.0,84626560.0,-2015741.13,82610818.87
6215.0,0.0,-597322.12,-597322.12
6220.0,0.0,-2396658.38,-2396658.38
6225.0,21156640.0,-5296381.78,15860258.22
6230.0,1983435.0,-3539061.53,-1555626.53
6235.0,0.0,-1945425.3,-1945425.3
6240.0,661145.0,-4113172.4,-3452027.4
6245.0,0.0,-2100489.86,-2100489.86
6250.0,5289160.0,-19420776.73,-14131616.73
6255.0,7272595.0,-1684033.91,5588561.09
6260.0,12561755.0,-5665196.67,6896558.33
6265.0,661145.0,-2738464.41,-2077319.41
6270.0,0.0,-35069973.96,-35069973.96
6275.0,0.0,-40922301.95,-40922301.95
6280.0,0.0,-6310613.85,-6310613.85
6285.0,0.0,-2201711.84,-2201711.84
6290.0,1322290.0,-6548208.99,-5225918.99
6295.0,0.0,-3955834.39,-3955834.39
6300.0,13884045.0,-41003262.82,-27119217.82
6305.0,660325.51,-2142459.24,-1482133.72
6310.0,0.0,-5366644.39,-5366644.39
6315.0,0.0,-5160894.95,-5160894.95
6320.0,3297007.9,-6727943.99,-3430936.09
6325.0,1973402.97,-30997114.09,-29023711.12
6330.0,0.0,-14145112.09,-14145112.09
6335.0,8560485.97,-5848191.59,2712294.38
6340.0,7892058.83,-28179796.19,-20287737.36
6345.0,0.0,-14319561.26,-14319561.26
6350.0,45619005.0,-164442375.23,-118823370.23
6355.0,0.0,-6204017.04,-6204017.04
6360.0,0.0,-34625669.95,-34625669.95
6365.0,9917175.0,-24902069.93,-14984894.93
6370.0,0.0,-19379206.34,-19379206.34
6375.0,4622075.31,-18802552.29,-14180476.98
6380.0,7164375.36,-36384384.84,-29220009.48
6385.0,661145.0,-13046834.13,-12385689.13
6390.0,22737984.21,-15875428.39,6862555.82
6395.0,13222900.0,-18795826.44,-5572926.44
6400.0,52162364.57,-96852128.29,-44689763.71
6405.0,0.0,-9383979.1,-9383979.1
6410.0,2616495.91,-22473053.22,-19856557.31
6415.0,643971.3,-11448847.2,-10804875.9
6420.0,16955848.28,-99078592.63,-82122744.35
6425.0,112162818.35,-65126580.97,47036237.38
6430.0,2543070.95,-68017255.77,-65474184.82
6435.0,0.0,-19410460.84,-19410460.84
6440.0,13902587.85,-64596213.88,-50693626.03
6445.0,3768655.42,-31847402.83,-28078747.41
6450.0,49561637.44,-219773329.96,-170211692.52
6455.0,0.0,-33785322.36,-33785322.36
6460.0,51268065.56,-98493742.05,-47225676.49
6465.0,0.0,-34820730.51,-34820730.51
6470.0,24048711.99,-74284170.76,-50235458.77
6475.0,10964863.52,-147840704.15,-136875840.63
6480.0,30722303.99,-124845711.77,-94123407.78
6485.0,3592294.6,-111800232.14,-108207937.54
6490.0,16610726.94,-800656234.14,-784045507.2
6495.0,6469616.6,-103613068.83,-97143452.23
6500.0,200289012.11,-1508565644.45,-1308276632.34
6505.0,9210261.85,-65071175.07,-55860913.22
6510.0,32924711.02,-115731450.38,-82806739.36
6515.0,7840119.4,-77021916.13,-69181796.73
6520.0,31357915.44,-109152481.18,-77794565.74
6525.0,31261079.7,-161393230.42,-130132150.72
6530.0,22129399.39,-228517387.86,-206387988.47
6535.0,69913204.7,-113789017.19,-43875812.5
6540.0,9390633.12,-333702544.68,-324311911.56
6545.0,12243152.38,-168792468.38,-156549316.0
6550.0,42825103.11,-456304743.5,-413479640.39
6555.0,3433053.74,-247016771.1,-243583717.36
6560.0,42409392.79,-324714463.83,-282305071.04
6565.0,58263570.82,-91664503.1,-33400932.28
6570.0,37337232.72,-235164589.3,-197827356.59
6575.0,58398967.25,-889571639.56,-831172672.32
6580.0,15768299.78,-445878300.08,-430110000.3
6585.0,22739653.94,-362168552.78,-339428898.84
6590.0,49821587.85,-257520963.39,-207699375.54
6595.0,21924892.32,-208988443.73,-187063551.41
6600.0,177448348.52,-2352135606.02,-2174687257.51
6605.0,30486842.01,-209436451.15,-178949609.14
6610.0,25763888.56,-219832040.17,-194068151.6
6615.0,21663339.84,-134363528.53,-112700188.69
6620.0,54687732.79,-400785061.97,-346097329.19
6625.0,79179890.7,-902022375.84,-822842485.14
6630.0,185590681.41,-382448767.18,-196858085.78
6635.0,51399656.04,-224669608.78,-173269952.74
6640.0,68508038.52,-992736630.67,-924228592.15
6645.0,104150638.96,-471242172.08,-367091533.11
6650.0,310171219.37,-1759337828.37,-1449166609.01
6655.0,56835951.26,-223681617.1,-166845665.85
6660.0,83917964.64,-460410429.36,-376492464.73
6665.0,44390647.26,-359893088.57,-315502441.31
6670.0,53033721.75,-309442785.81,-256409064.06
6675.0,89000172.01,-1041206808.26,-952206636.26
6680.0,69085774.04,-424293054.16,-355207280.12
6685.0,41919444.64,-206807504.81,-164888060.17
6690.0,60506140.95,-475898797.48,-415392656.52
6695.0,60140884.3,-323868738.44,-263727854.14
6700.0,311082090.95,-2112351201.13,-1801269110.19
6705.0,49974870.12,-840351844.68,-790376974.56
6710.0,38416332.81,-537786772.33,-499370439.52
6715.0,25769794.23,-409881670.82,-384111876.59
6720.0,33514455.64,-833957610.19,-800443154.56
6725.0,55182136.15,-660567696.8,-605385560.64
6730.0,25739742.74,-358854121.18,-333114378.44
6735.0,14864925.8,-232675159.61,-217810233.81
6740.0,19600757.66,-1685759071.98,-1666158314.32
6745.0,12768716.58,-465069158.51,-452300441.93
6750.0,211428595.93,-6359996532.17,-6148567936.24
6755.0,12039851.73,-438270237.12,-426230385.39
6760.0,15021471.75,-374309402.92,-359287931.17
