strike,call_dex,put_dex,net_dex
2800.0,674318.82,-4017.65,670301.17
3000.0,674773.21,-340.81,674432.41
3200.0,0.0,0.0,0.0
3400.0,0.0,-1498.96,-1498.96
3600.0,0.0,-18221.02,-18221.02
3800.0,0.0,-105943.76,-105943.76
4000.0,0.0,-217598.09,-217598.09
4200.0,1344029.05,-868012.3,476016.75
4400.0,673283.56,-217519.3,455764.26
4600.0,0.0,-73775.81,-73775.81
4800.0,0.0,-178947.46,-178947.46
5000.0,0.0,-246004.61,-246004.61
5200.0,1344456.7,-614273.72,730182.98
5400.0,671909.14,-207051.44,464857.7
5500.0,669754.77,-237703.13,432051.64
5600.0,0.0,-840148.09,-840148.09
5700.0,0.0,-7183487.5,-7183487.5
5800.0,669346.97,-1822962.38,-1153615.4
5825.0,0.0,-27247.8,-27247.8
5850.0,0.0,-165978.03,-165978.03
5875.0,668352.78,-188363.26,479989.53
5900.0,1334557.93,-265845.03,1068712.9
5925.0,0.0,-286465.08,-286465.08
5950.0,0.0,-385601.72,-385601.72
5975.0,0.0,-238257.94,-238257.94
6000.0,1995681.34,-1681615.23,314066.12
6025.0,0.0,-497945.97,-497945.97
6050.0,0.0,-268984.44,-268984.44
6075.0,0.0,-236953.74,-236953.74
6100.0,2004695.26,-608952.81,1395742.46
6125.0,0.0,-230118.31,-230118.31
6150.0,0.0,-1429413.37,-1429413.37
6175.0,0.0,-1464853.84,-1464853.84
6200.0,2670958.25,-10330001.45,-7659043.2
6210.0,0.0,-268922.45,-268922.45
6220.0,0.0,-61935.81,-61935.81
6225.0,0.0,-557109.47,-557109.47
6230.0,0.0,-172237.15,-172237.15
6240.0,1332126.83,-559167.29,772959.55
6250.0,8656820.73,-975351.09,7681469.64
6260.0,0.0,-274316.54,-274316.54
6270.0,0.0,-66977.27,-66977.27
6275.0,0.0,-1035392.04,-1035392.04
6280.0,0.0,-230194.39,-230194.39
6290.0,0.0,-715595.45,-715595.45
6300.0,0.0,-2310660.69,-2310660.69
6310.0,0.0,-259438.33,-259438.33
6320.0,0.0,-251242.3,-251242.3
6325.0,0.0,-1662459.28,-1662459.28
6330.0,0.0,-347551.36,-347551.36
6335.0,0.0,-460244.41,-460244.41
6340.0,0.0,-409763.1,-409763.1
6345.0,0.0,-122442.79,-122442.79
6350.0,0.0,-4520220.48,-4520220.48
6355.0,0.0,-431071.38,-431071.38
6360.0,0.0,-597204.42,-597204.42
6365.0,0.0,-361096.37,-361096.37
6370.0,0.0,-498311.77,-498311.77
6375.0,0.0,-4631096.13,-4631096.13
6380.0,0.0,-339218.91,-339218.91
6385.0,0.0,-455397.82,-455397.82
6390.0,0.0,-402839.24,-402839.24
6395.0,0.0,-345532.14,-345532.14
6400.0,0.0,-5558525.99,-5558525.99
6405.0,0.0,-567481.04,-567481.04
6410.0,0.0,-1478445.8,-1478445.8
6415.0,0.0,-686103.62,-686103.62
6420.0,0.0,-1377732.28,-1377732.28
6425.0,660512.85,-2560059.35,-1899546.5
6430.0,0.0,-3107946.88,-3107946.88
6435.0,0.0,-547731.14,-547731.14
6440.0,0.0,-15611386.21,-15611386.21
6445.0,0.0,-1157447.43,-1157447.43
6450.0,5270183.26,-20730212.83,-15460029.57
6455.0,0.0,-1246735.07,-1246735.07
6460.0,1973839.51,-1700244.03,273595.48
6465.0,0.0,-754064.19,-754064.19
6470.0,17740738.42,-3415943.85,14324794.56
6475.0,1969236.96,-2671767.75,-702530.79
6480.0,2631430.91,-2797564.41,-166133.5
6485.0,2634008.5,-2977335.67,-343327.17
6490.0,13095226.55,-6647402.73,6447823.82
6495.0,0.0,-1268298.77,-1268298.77
6500.0,13728558.04,-17285959.14,-3557401.11
6505.0,656554.55,-2504849.49,-1848294.94
6510.0,0.0,-5898365.99,-5898365.99
6515.0,0.0,-8873596.37,-8873596.37
6520.0,1303941.05,-6722690.85,-5418749.79
6525.0,1302298.31,-7083709.55,-5781411.24
6530.0,1949597.97,-8718228.77,-6768630.81
6535.0,648549.58,-2573119.63,-1924570.05
6540.0,647200.27,-10774233.8,-10127033.53
6545.0,0.0,-3899229.57,-3899229.57
6550.0,3851189.85,-29423413.69,-25572223.85
6555.0,1284293.64,-2385301.3,-1101007.66
6560.0,638567.21,-7526209.63,-6887642.42
6565.0,0.0,-4906992.86,-4906992.86
6570.0,16534270.81,-7382580.25,9151690.56
6575.0,1901812.88,-14933718.7,-13031905.83
6580.0,2520927.37,-12151384.12,-9630456.75
6585.0,629354.14,-5562740.51,-4933386.37
6590.0,0.0,-12083820.91,-12083820.91
6595.0,1245923.9,-8499526.05,-7253602.14
6600.0,31613384.08,-51395703.0,-19782318.92
6605.0,8012433.4,-18390406.08,-10377972.69
6610.0,3054355.44,-26857378.65,-23803023.21
6615.0,1823966.73,-26215441.4,-24391474.67
6620.0,1208562.49,-31947626.39,-30739063.9
