strike,call_dex,put_dex,net_dex
2800.0,0.0,-239.08,-239.08
3000.0,0.0,-28042.08,-28042.08
3200.0,0.0,-16172.65,-16172.65
3400.0,0.0,-202933.54,-202933.54
3600.0,0.0,-164321.72,-164321.72
3800.0,0.0,-31579.78,-31579.78
4000.0,0.0,-141589.43,-141589.43
4200.0,0.0,-400533.92,-400533.92
4400.0,0.0,-122408.86,-122408.86
4600.0,0.0,-306741.48,-306741.48
4800.0,1335970.0,-265175.29,1070794.71
5000.0,0.0,-393790.11,-393790.11
5200.0,0.0,-420471.46,-420471.46
5400.0,667985.0,-480521.73,187463.27
5500.0,667985.0,-1714174.17,-1046189.17
5600.0,667985.0,-4145146.21,-3477161.21
5700.0,0.0,-772050.87,-772050.87
5725.0,0.0,-65315.84,-65315.84
5750.0,0.0,-38254.78,-38254.78
5775.0,0.0,-396451.55,-396451.55
5800.0,0.0,-2632943.66,-2632943.66
5825.0,0.0,-79760.29,-79760.29
5850.0,0.0,-419206.67,-419206.67
5875.0,0.0,-184733.81,-184733.81
5900.0,0.0,-586068.55,-586068.55
5925.0,0.0,-351751.96,-351751.96
5950.0,0.0,-471801.15,-471801.15
5975.0,0.0,-661550.73,-661550.73
6000.0,1335970.0,-4555863.54,-3219893.54
6025.0,0.0,-412362.64,-412362.64
6050.0,0.0,-1082908.47,-1082908.47
6075.0,0.0,-1299318.88,-1299318.88
6100.0,667985.0,-1882738.57,-1214753.57
6110.0,0.0,-98387.11,-98387.11
6120.0,0.0,-93720.09,-93720.09
6125.0,0.0,-754103.21,-754103.21
6130.0,0.0,-47611.99,-47611.99
6140.0,0.0,-13909.2,-13909.2
6150.0,0.0,-2661135.59,-2661135.59
6160.0,0.0,-201245.23,-201245.23
6170.0,0.0,-164681.8,-164681.8
6175.0,0.0,-1592553.84,-1592553.84
6180.0,0.0,-151863.74,-151863.74
6190.0,0.0,-76584.16,-76584.16
6200.0,3339925.0,-2609458.11,730466.89
6210.0,0.0,-248013.02,-248013.02
6220.0,0.0,-41984.01,-41984.01
6225.0,0.0,-5387450.07,-5387450.07
6230.0,667985.0,-128231.7,539753.3
6235.0,667985.0,-365105.48,302879.52
6240.0,0.0,-740953.0,-740953.0
6245.0,0.0,-389031.63,-389031.63
6250.0,8683805.0,-3117654.84,5566150.16
6255.0,0.0,-972444.53,-972444.53
6260.0,0.0,-371580.86,-371580.86
6265.0,0.0,-458533.14,-458533.14
6270.0,0.0,-627425.15,-627425.15
6275.0,0.0,-3259895.64,-3259895.64
6280.0,16699625.0,-621707.91,16077917.09
6285.0,0.0,-291721.57,-291721.57
6290.0,0.0,-284257.46,-284257.46
6295.0,0.0,-579724.07,-579724.07
6300.0,667985.0,-4746661.43,-4078676.43
6305.0,0.0,-493377.03,-493377.03
6310.0,667985.0,-1308415.86,-640430.86
6315.0,0.0,-529453.24,-529453.24
6320.0,0.0,-342945.08,-342945.08
6325.0,667985.0,-8857215.13,-8189230.13
6330.0,0.0,-315876.35,-315876.35
6335.0,0.0,-145928.63,-145928.63
6340.0,0.0,-2514001.42,-2514001.42
6345.0,1335970.0,-746414.39,589555.61
6350.0,2003955.0,-9520268.3,-7516313.3
6355.0,0.0,-298908.57,-298908.57
6360.0,0.0,-2389204.15,-2389204.15
6365.0,0.0,-577602.98,-577602.98
6370.0,0.0,-1370009.93,-1370009.93
6375.0,667985.0,-3348017.35,-2680032.35
6380.0,16699625.0,-2363444.55,14336180.45
6385.0,0.0,-3348449.55,-3348449.55
6390.0,0.0,-11318096.78,-11318096.78
6395.0,0.0,-1971642.5,-1971642.5
6400.0,1335970.0,-25449937.17,-24113967.17
6405.0,0.0,-913098.95,-913098.95
6410.0,0.0,-14023842.39,-14023842.39
6415.0,0.0,-2637186.32,-2637186.32
6420.0,0.0,-3710909.28,-3710909.28
6425.0,0.0,-6524981.25,-6524981.25
6430.0,0.0,-9794004.09,-9794004.09
6435.0,0.0,-1716498.51,-1716498.51
6440.0,0.0,-9225258.29,-9225258.29
6445.0,0.0,-3735045.5,-3735045.5
6450.0,1335970.0,-22425464.76,-21089494.76
6455.0,0.0,-4055490.11,-4055490.11
6460.0,0.0,-2993834.48,-2993834.48
6465.0,0.0,-5732368.44,-5732368.44
6470.0,3339925.0,-6665079.0,-3325154.0
6475.0,2003955.0,-18802217.04,-16798262.04
6480.0,0.0,-16849206.25,-16849206.25
6485.0,0.0,-8425704.91,-8425704.91
6490.0,53438800.0,-12335832.38,41102967.62
6495.0,0.0,-13497602.19,-13497602.19
6500.0,3993111.27,-336699141.78,-332706030.52
6505.0,0.0,-9721067.55,-9721067.55
6510.0,104729414.87,-358206091.75,-253476676.88
6515.0,1946707.02,-9414060.77,-7467353.75
6520.0,0.0,-40864765.66,-40864765.66
6525.0,642430.23,-33852723.71,-33210293.48
6530.0,59447391.57,-47857188.82,11590202.74
6535.0,1265918.15,-21859315.32,-20593397.17
6540.0,626918.89,-30101630.64,-29474711.75
6545.0,2484220.01,-29101658.78,-26617438.77
6550.0,4925820.68,-63484497.83,-58558677.16
6555.0,611897.65,-25474708.38,-24862810.73
6560.0,3016196.54,-40610312.28,-37594115.74
6565.0,2993843.91,-57559130.01,-54565286.1
6570.0,2368233.66,-135519537.87,-133151304.21
6575.0,5260039.65,-59384588.67,-54124549.03
6580.0,6311709.12,-65354932.27,-59043223.14
6585.0,4554122.99,-48613700.8,-44059577.81
6590.0,8939709.08,-54065006.76,-45125297.68
6595.0,8795834.31,-78490226.71,-69694392.4
6600.0,37868047.71,-167788599.48,-129920551.78
6605.0,5303644.99,-23429200.67,-18125555.68
6610.0,15602570.76,-47721732.3,-32119161.54
6615.0,2552511.34,-64662337.95,-62109826.6
6620.0,17448731.77,-76517819.37,-59069087.6
6625.0,20973680.06,-126527098.82,-105553418.76
6630.0,29031114.82,-505443659.28,-476412544.46
6635.0,5563760.16,-42348013.07,-36784252.91
6640.0,20742480.03,-89466987.4,-68724507.36
6645.0,6566720.01,-61159108.19,-54592388.17
6650.0,34831368.36,-181493681.42,-146662313.06
6655.0,37800681.52,-61716319.62,-23915638.1
6660.0,82062360.25,-105060456.76,-22998096.52
6665.0,22173420.73,-92154869.18,-69981448.45
6670.0,15811013.68,-130960456.86,-115149443.18
6675.0,44097038.31,-483280764.07,-439183725.76
6680.0,24989587.15,-239792445.01,-214802857.86
6685.0,48031332.66,-187403185.67,-139371853.01
6690.0,30069224.13,-496641503.74,-466572279.61
6695.0,52134617.79,-86985533.44,-34850915.65
6700.0,111642086.02,-338117721.85,-226475635.83
6705.0,32446601.43,-79627525.32,-47180923.89
6710.0,40234565.1,-93356008.35,-53121443.25
6715.0,42504199.49,-120549850.3,-78045650.8
6720.0,56865862.92,-149624077.85,-92758214.93
6725.0,50168371.94,-141886525.13,-91718153.19
6730.0,26236036.79,-124409783.89,-98173747.1
6735.0,45000752.96,-107008841.15,-62008088.19
6740.0,25704542.99,-112704876.85,-87000333.85
6745.0,45735248.99,-30151136.25,15584112.74
6750.0,99249323.65,-467455886.15,-368206562.5
