strike,call_dex,put_dex,net_dex
2000.0,669810.46,0.0,669810.46
2200.0,669935.0,-62.62,669872.38
2400.0,0.0,0.0,0.0
2600.0,669182.83,-2129.52,667053.32
2800.0,0.0,-5800.91,-5800.91
3000.0,1337007.59,-87903.49,1249104.1
3200.0,1336631.22,-130052.13,1206579.09
3400.0,669379.35,-151077.09,518302.26
3600.0,0.0,-140844.88,-140844.88
3800.0,0.0,-158872.41,-158872.41
4000.0,667488.91,-564167.3,103321.61
4200.0,0.0,-1279627.04,-1279627.04
4400.0,1335866.94,-481044.2,854822.74
4600.0,0.0,-506268.14,-506268.14
4800.0,667376.06,-2222366.74,-1554990.68
5000.0,581962886.15,-1352646.57,580610239.58
5100.0,1999201.26,-326932.8,1672268.46
5200.0,664944.64,-1580572.65,-915628.01
5300.0,11300803.72,-3574640.74,7726162.99
5400.0,664793.91,-1967343.74,-1302549.83
5425.0,0.0,-74302.77,-74302.77
5450.0,2000767.35,-2132728.85,-131961.51
5475.0,0.0,-100815.92,-100815.92
5500.0,1333323.72,-1443973.82,-110650.1
5525.0,0.0,-35639.0,-35639.0
5550.0,0.0,-2223854.14,-2223854.14
5575.0,0.0,-235019.74,-235019.74
5600.0,1332508.35,-2978088.77,-1645580.42
5625.0,662865.39,-220388.02,442477.37
5650.0,98263128.66,-31454850.35,66808278.3
5675.0,0.0,-4179277.49,-4179277.49
5700.0,66320774.15,-7489124.98,58831649.17
5725.0,0.0,-1686587.31,-1686587.31
5750.0,665999.99,-26423305.24,-25757305.25
5775.0,0.0,-4367861.14,-4367861.14
5800.0,0.0,-2026003.82,-2026003.82
5825.0,0.0,-2000264.88,-2000264.88
5850.0,119408105.62,-686543.77,118721561.85
5875.0,665768.25,-519288.9,146479.35
5900.0,2652202.59,-2567641.52,84561.06
5925.0,0.0,-806279.11,-806279.11
5930.0,3314177.29,-24241.58,3289935.71
5940.0,0.0,-119967.44,-119967.44
5950.0,1329434.55,-578233.54,751201.02
5960.0,0.0,-37720.65,-37720.65
5970.0,0.0,-45966.73,-45966.73
5975.0,1978157.67,-1121363.51,856794.16
5980.0,0.0,-66663.97,-66663.97
5990.0,148412291.81,-32422.2,148379869.61
6000.0,2138112313.87,-6788807.03,2131323506.85
6010.0,0.0,-96981.79,-96981.79
6020.0,0.0,-67437.3,-67437.3
6025.0,0.0,-445383.92,-445383.92
6030.0,0.0,-56621.13,-56621.13
6040.0,0.0,-187203.29,-187203.29
6050.0,72085017.99,-3816817.53,68268200.46
6060.0,0.0,-129233.39,-129233.39
6070.0,0.0,-58871.82,-58871.82
6075.0,0.0,-1809469.2,-1809469.2
6080.0,0.0,-452380.65,-452380.65
6090.0,0.0,-3573343.75,-3573343.75
6100.0,5272524.11,-7482913.47,-2210389.36
6110.0,0.0,-87206.48,-87206.48
6120.0,0.0,-146114.5,-146114.5
6125.0,21652003.28,-1125483.36,20526519.92
6130.0,0.0,-76266.14,-76266.14
6140.0,82634896.44,-449539.84,82185356.6
6150.0,8520257.75,-3007289.37,5512968.37
6160.0,5804798.51,-708726.64,5096071.88
6170.0,0.0,-329771.98,-329771.98
6175.0,8501001.64,-2126379.97,6374621.66
6180.0,2613360.63,-1038571.15,1574789.48
6190.0,4599388.25,-807944.87,3791443.38
6200.0,35318300.36,-21364841.3,13953459.06
6210.0,2611254.93,-1422959.75,1188295.17
6220.0,9128672.44,-794645.23,8334027.21
6225.0,0.0,-4084545.53,-4084545.53
6230.0,3279697.93,-824299.92,2455398.01
6240.0,1927928.15,-2516402.86,-588474.71
6250.0,20828846.58,-12846464.81,7982381.77
6260.0,1303760.68,-2280174.47,-976413.79
6270.0,0.0,-1918762.36,-1918762.36
6275.0,1300640.47,-6678177.75,-5377537.28
6280.0,3246774.23,-1753410.24,1493363.99
6290.0,1950181.98,-2653734.67,-703552.69
6300.0,8446013.71,-30389397.63,-21943383.92
6310.0,0.0,-16980745.27,-16980745.27
6320.0,1304399.19,-2902114.32,-1597715.13
6325.0,4561984.47,-12247004.08,-7685019.61
6330.0,646742.49,-3005743.34,-2359000.85
6335.0,0.0,-1294406.18,-1294406.18
6340.0,1297273.18,-4625055.69,-3327782.5
6345.0,0.0,-1309696.21,-1309696.21
6350.0,1950260.62,-17408670.45,-15458409.84
6355.0,0.0,-1031517.83,-1031517.83
6360.0,0.0,-5464848.58,-5464848.58
6365.0,0.0,-1797501.14,-1797501.14
6370.0,3877626.84,-3384707.61,492919.23
6375.0,67020386.82,-11727866.74,55292520.08
6380.0,0.0,-2698825.49,-2698825.49
6385.0,0.0,-1053674.06,-1053674.06
6390.0,0.0,-22495728.56,-22495728.56
6395.0,0.0,-5883650.75,-5883650.75
6400.0,10231038.61,-69388798.16,-59157759.54
6405.0,7082972.63,-553794.56,6529178.07
6410.0,16124429.98,-7942317.49,8182112.49
6415.0,638628.52,-8277229.32,-7638600.79
6420.0,1279720.53,-8141275.75,-6861555.23
6425.0,16029124.5,-29716299.19,-13687174.69
6430.0,20550231.5,-8138826.56,12411404.94
6435.0,2562961.69,-4153951.83,-1590990.13
6440.0,641060.18,-12316018.19,-11674958.02
6445.0,7035292.67,-6352316.55,682976.12
6450.0,14069039.85,-69145389.58,-55076349.73
6455.0,0.0,-4115265.85,-4115265.85
6460.0,3176627.04,-17028421.64,-13851794.6
6465.0,0.0,-4773258.37,-4773258.37
6470.0,6317669.47,-17825982.48,-11508313.02
6475.0,3797898.46,-33707271.7,-29909373.24
6480.0,13873114.22,-34367057.34,-20493943.12
6485.0,0.0,-7350717.62,-7350717.62
6490.0,9428954.77,-60254939.9,-50825985.13
6495.0,0.0,-18529766.16,-18529766.16
6500.0,94980926.03,-262862689.39,-167881763.36
6505.0,0.0,-9916063.61,-9916063.61
6510.0,56530068.53,-59595713.03,-3065644.49
6515.0,1848331.44,-28180821.24,-26332489.81
6520.0,51819263.07,-61291655.91,-9472392.84
6525.0,12227140.14,-106890598.77,-94663458.63
6530.0,23243258.35,-90907224.28,-67663965.92
6535.0,605702.89,-16082136.07,-15476433.18
6540.0,1210285.47,-68584068.4,-67373782.93
6545.0,1202963.8,-49156865.27,-47953901.47
6550.0,49502193.41,-410660447.51,-361158254.1
6555.0,5325260.8,-61417088.13,-56091827.33
6560.0,35250226.69,-134567269.87,-99317043.17
6565.0,5842055.43,-531863453.67,-526021398.24
6570.0,30214875.52,-255337141.9,-225122266.37
6575.0,28210087.8,-710465000.2,-682254912.4
6580.0,35302416.39,-120499606.51,-85197190.13
6585.0,24798479.0,-40487917.27,-15689438.27
6590.0,10099463.59,-87412505.32,-77313041.74
6595.0,7158970.21,-85722354.43,-78563384.22
6600.0,163775713.46,-746483612.11,-582707898.65
