strike,call_dex,put_dex,net_dex
2800.0,677269.0,-4009.66,673259.34
3000.0,677269.0,-340.13,676928.87
3200.0,0.0,0.0,0.0
3400.0,0.0,-1494.81,-1494.81
3600.0,0.0,-18167.18,-18167.18
3800.0,0.0,-105610.95,-105610.95
4000.0,0.0,-216819.58,-216819.58
4200.0,1354538.0,-864819.0,489719.0
4400.0,677269.0,-216655.96,460613.04
4600.0,0.0,-73428.24,-73428.24
4800.0,0.0,-178026.07,-178026.07
5000.0,0.0,-244682.27,-244682.27
5200.0,1354538.0,-610106.34,744431.66
5400.0,674689.82,-205415.7,469274.12
5500.0,677269.0,-235686.97,441582.03
5600.0,0.0,-832018.76,-832018.76
5700.0,0.0,-5014424.54,-5014424.54
5800.0,677269.0,-1802799.96,-1125530.96
5825.0,0.0,-26933.5,-26933.5
5850.0,0.0,-163982.3,-163982.3
5875.0,677269.0,-186006.07,491262.93
5900.0,1354538.0,-262380.61,1092157.39
5925.0,0.0,-282870.3,-282870.3
5950.0,0.0,-380559.75,-380559.75
5975.0,0.0,-183810.74,-183810.74
6000.0,2031807.0,-1297651.74,734155.26
6025.0,0.0,-383888.6,-383888.6
6050.0,0.0,-264793.16,-264793.16
6075.0,0.0,-233258.11,-233258.11
6100.0,2014314.67,-514136.83,1500177.84
6125.0,0.0,-226144.45,-226144.45
6150.0,0.0,-1234093.25,-1234093.25
6175.0,0.0,-1437252.31,-1437252.31
6200.0,2685063.34,-9069370.6,-6384307.26
6210.0,0.0,-263418.46,-263418.46
6220.0,0.0,-60675.68,-60675.68
6225.0,0.0,-546250.48,-546250.48
6230.0,0.0,-168701.82,-168701.82
6240.0,1339285.01,-502436.03,836848.98
6250.0,8712213.83,-876262.75,7835951.08
6260.0,0.0,-268269.02,-268269.02
6270.0,0.0,-65495.67,-65495.67
6275.0,0.0,-1012439.51,-1012439.51
6280.0,0.0,-225201.0,-225201.0
6290.0,0.0,-699175.49,-699175.49
6300.0,0.0,-2424623.71,-2424623.71
6310.0,0.0,-271857.55,-271857.55
6320.0,0.0,-263193.75,-263193.75
6325.0,0.0,-1740260.96,-1740260.96
6330.0,0.0,-339095.5,-339095.5
6335.0,0.0,-448446.5,-448446.5
6340.0,0.0,-399173.82,-399173.82
6345.0,0.0,-119423.16,-119423.16
6350.0,0.0,-4402603.85,-4402603.85
6355.0,0.0,-419747.7,-419747.7
6360.0,0.0,-581364.86,-581364.86
6365.0,0.0,-351424.17,-351424.17
6370.0,0.0,-484824.48,-484824.48
6375.0,0.0,-4505120.64,-4505120.64
6380.0,0.0,-313264.76,-313264.76
6385.0,0.0,-420205.87,-420205.87
6390.0,0.0,-412207.49,-412207.49
6395.0,0.0,-335293.58,-335293.58
6400.0,0.0,-5398136.43,-5398136.43
6405.0,0.0,-524931.49,-524931.49
6410.0,0.0,-1434617.54,-1434617.54
6415.0,0.0,-636431.9,-636431.9
6420.0,0.0,-1275237.77,-1275237.77
6425.0,665829.27,-2480531.91,-1814702.64
6430.0,0.0,-2884145.83,-2884145.83
6435.0,0.0,-507772.21,-507772.21
6440.0,0.0,-14504249.92,-14504249.92
6445.0,0.0,-1076272.02,-1076272.02
6450.0,5307437.7,-19279092.97,-13971655.27
6455.0,0.0,-1118040.81,-1118040.81
6460.0,1989312.39,-1587184.48,402127.91
6465.0,0.0,-679826.9,-679826.9
6470.0,17870830.28,-3089100.76,14781729.52
6475.0,1989060.74,-2420355.29,-431294.55
6480.0,2651340.88,-2393924.38,257416.5
6485.0,2643369.11,-2637166.68,6202.43
6490.0,13212597.55,-5734552.79,7478044.76
6495.0,0.0,-1102374.91,-1102374.91
6500.0,13882919.2,-15113547.73,-1230628.52
6505.0,659024.59,-2096070.12,-1437045.53
6510.0,0.0,-4879737.69,-4879737.69
6515.0,0.0,-7400332.78,-7400332.78
6520.0,1320297.37,-5547976.77,-4227679.4
6525.0,1313089.39,-5797670.3,-4484580.91
6530.0,1963198.71,-7076774.62,-5113575.92
6535.0,654957.21,-2046669.97,-1391712.76
6540.0,654138.86,-8698515.91,-8044377.05
6545.0,0.0,-3094843.57,-3094843.57
6550.0,3911944.24,-23409397.08,-19497452.85
6555.0,1301253.07,-1882388.35,-581135.28
6560.0,649248.79,-5949369.31,-5300120.52
6565.0,0.0,-3823914.9,-3823914.9
6570.0,16759212.44,-5726538.64,11032673.8
6575.0,1934776.57,-11682915.13,-9748138.56
6580.0,2571851.3,-9518984.36,-6947133.05
6585.0,640070.3,-4357855.94,-3717785.64
6590.0,0.0,-9372123.54,-9372123.54
6595.0,1273651.38,-6622186.71,-5348535.33
6600.0,32324212.4,-40258940.88,-7934728.48
6605.0,8199797.39,-14496575.07,-6296777.68
6610.0,3140393.16,-20926261.55,-17785868.39
6615.0,1874841.34,-20422288.17,-18547446.84
6620.0,1241837.98,-25089534.57,-23847696.59
6625.0,4320624.39,-38306972.47,-33986348.08
6630.0,5521512.86,-26719808.16,-21198295.3
6635.0,0.0,-13003190.85,-13003190.85
6640.0,7260262.31,-17048891.39,-9788629.08
6645.0,17398208.91,-13288860.7,4109348.21
6650.0,115671817.36,-85177749.16,30494068.2
6655.0,11220645.3,-14980627.88,-3759982.58
6660.0,18692417.14,-21030165.81,-2337748.68
6665.0,21964825.95,-32193648.22,-10228822.27
6670.0,15981918.88,-30420438.75,-14438519.87
6675.0,5635228.56,-31003838.56,-25368609.99
6680.0,13918291.95,-28925382.16,-15007090.21
6685.0,18664475.12,-28692547.55,-10028072.42
6690.0,27563156.19,-129371895.46,-101808739.27
6695.0,18084304.95,-43318851.66,-25234546.72
6700.0,91598220.85,-157841313.96,-66243093.11
6705.0,31326393.74,-22320322.57,9006071.17
6710.0,20656944.12,-54734070.86,-34077126.74
6715.0,20239379.81,-59609008.74,-39369628.93
6720.0,100888941.15,-83719286.8,17169654.35
6725.0,36799106.07,-116684294.88,-79885188.8
6730.0,29918089.9,-75777748.7,-45859658.8
6735.0,43028997.56,-38386007.46,4642990.09
6740.0,88431620.92,-126692691.06,-38261070.14
6745.0,50297320.7,-142442194.7,-92144874.0
6750.0,126797712.16,-229206337.31,-102408625.15
6755.0,58086917.38,-23322523.92,34764393.47
6760.0,39231395.39,-105236391.17,-66004995.78
6765.0,68469101.33,-150969436.93,-82500335.6
6770.0,34748371.25,-203792754.5,-169044383.25
6775.0,63417449.39,-410587703.68,-347170254.29
6780.0,58191126.64,-85554073.8,-27362947.16
6785.0,43127574.31,-73361795.49,-30234221.18
6790.0,62369651.32,-148915649.21,-86545997.89
6795.0,78586986.2,-76303716.44,2283269.76
6800.0,210116843.24,-279445198.39,-69328355.15
6805.0,68005484.58,-150604275.86,-82598791.28
6810.0,108016800.52,-305040591.62,-197023791.1
6815.0,37655134.67,-168368967.2,-130713832.53
6820.0,66422231.31,-190512042.23,-124089810.93
6825.0,57384181.35,-155712775.51,-98328594.16
6830.0,40445156.22,-222952824.09,-182507667.87
6835.0,62806202.93,-39935830.41,22870372.52
6840.0,36093432.81,-72063017.07,-35969584.26
6845.0,40916249.14,-135984970.09,-95068720.94
6850.0,99729357.26,-300955551.63,-201226194.37
6855.0,30755961.25,-71419991.0,-40664029.75
6860.0,25539724.91,-61964051.2,-36424326.29
6865.0,21284519.37,-52441309.91,-31156790.54
6870.0,43238749.88,-90339518.08,-47100768.2
6875.0,32322003.72,-83617423.85,-51295420.13
6880.0,24189866.54,-155379948.42,-131190081.88
6885.0,17092949.59,-22894084.79,-5801135.21
6890.0,14492283.98,-120349603.02,-105857319.04
6895.0,19605317.88,-52876373.33,-33271055.45
6900.0,53444868.13,-324852386.81,-271407518.67
6905.0,11212401.72,-150353718.0,-139141316.28
6910.0,15238019.99,-79140588.66,-63902568.67
6915.0,9407451.36,-12190842.0,-2783390.64
6920.0,19706961.54,-81272280.0,-61565318.46
6925.0,11700761.24,-108363040.0,-96662278.76
6930.0,8174909.62,-31154374.0,-22979464.38
6935.0,6359711.06,-10159035.0,-3799323.94
6940.0,44656606.58,-44022485.0,634121.58
6945.0,3967779.29,-8804497.0,-4836717.71
6950.0,44649242.98,-111749385.0,-67100142.02
6955.0,1848177.85,-8804497.0,-6956319.15
6960.0,6493778.89,-37249795.0,-30756016.11
6965.0,2018289.52,-3386345.0,-1368055.48
6970.0,6743891.85,-10836304.0,-4092412.15
6975.0,4635100.4,-18963532.0,-14328431.6
6980.0,4229657.82,-12868111.0,-8638453.18
6985.0,1914177.79,-677269.0,1236908.79
6990.0,2779161.57,-3386345.0,-607183.43
6995.0,1575487.51,-2630325.95,-1054838.44
7000.0,7806966.87,-42106026.94,-34299060.07
7005.0,2396193.3,0.0,2396193.3
7010.0,5447538.71,-2667771.06,2779767.65
7015.0,1498727.58,-663268.37,835459.21
7020.0,2686890.8,-4740883.0,-2053992.2
7025.0,1623202.65,-10159035.0,-8535832.35
7030.0,1056388.48,-7315283.04,-6258894.56
7035.0,1168766.63,0.0,1168766.63
7040.0,1524964.77,-668425.46,856539.3
7050.0,2154285.3,-9327404.08,-7173118.77
7060.0,1043055.6,0.0,1043055.6
7070.0,1228255.63,-4667398.02,-3439142.38
7075.0,651555.08,-8655830.71,-8004275.63
7080.0,376602.51,0.0,376602.51
7090.0,603831.42,0.0,603831.42
7100.0,586633.93,-8663932.86,-8077298.94
7110.0,1048799.47,0.0,1048799.47
7120.0,384244.27,0.0,384244.27
7125.0,293898.14,0.0,293898.14
7150.0,565558.68,0.0,565558.68
7175.0,453123.51,-668361.72,-215238.21
7200.0,662692.8,0.0,662692.8
7225.0,263440.97,0.0,263440.97
7250.0,80505.18,0.0,80505.18
7275.0,100294.09,-665838.49,-565544.41
7300.0,37092.84,0.0,37092.84
7325.0,79994.73,0.0,79994.73
7350.0,12390.42,0.0,12390.42
7375.0,24608.11,0.0,24608.11
7400.0,9660.52,0.0,9660.52
7425.0,8110.99,0.0,8110.99
7450.0,604.65,-673271.08,-672666.43
7500.0,1141.51,0.0,1141.51
7600.0,163701.09,0.0,163701.09
7800.0,2165.72,0.0,2165.72
8000.0,752.24,0.0,752.24
8200.0,334.61,0.0,334.61
8400.0,6652.22,0.0,6652.22
8600.0,0.0,0.0,0.0
8800.0,278.0,0.0,278.0
9000.0,518.22,0.0,518.22
