strike,call_gex,put_gex,net_gex,gex_profile
2000.0,50.42,0.0,50.42,
2200.0,82.44,-8.01,74.43,
2400.0,0.0,0.0,0.0,
2600.0,91.43,-316.1,-224.67,
2800.0,0.0,-927.09,-927.09,
3000.0,118.83,-15137.67,-15018.84,
3200.0,116.83,-24153.55,-24036.72,
3400.0,236.68,-30298.52,-30061.84,-101154108.44
3600.0,0.0,-30579.59,-30579.59,-148384964.29
3800.0,0.0,-37425.18,-37425.18,-206526366.28
4000.0,425.49,-144618.27,-144192.78,-276338049.68
4200.0,0.0,-358419.81,-358419.81,-362265600.53
4400.0,518.45,-147939.9,-147421.45,-473900031.64
4600.0,0.0,-171847.66,-171847.66,-636057311.46
4800.0,0.0,-839002.36,-839002.36,-921043453.33
5000.0,331331.58,-573194.65,-241863.07,-1550795882.88
5100.0,4081.36,-147424.86,-143343.51,-2131785204.04
5200.0,733.53,-760252.26,-759518.73,-3022440212.92
5300.0,3430.75,-1842518.98,-1839088.23,-4197633639.2
5400.0,1106.85,-1090280.33,-1089173.48,-5602225887.45
5425.0,0.0,-41949.97,-41949.97,-5965125008.98
5450.0,4354.54,-1228036.14,-1223681.61,-6321692507.53
5475.0,0.0,-59175.84,-59175.84,-6664605445.37
5500.0,4213.79,-865593.26,-861379.46,-7007518383.21
5525.0,0.0,-21792.89,-21792.89,-7317161929.52
5550.0,0.0,-1387654.84,-1387654.84,-7605784084.84
5575.0,0.0,-149831.66,-149831.66,-7894406240.15
5600.0,1177.57,-1367402.02,-1366224.45,-8108333780.53
5625.0,1538.7,-138492.09,-136953.39,-8314765558.49
5650.0,440451.87,-20202009.62,-19761557.76,-8501559718.41
5675.0,0.0,-2744947.91,-2744947.91,-8611917044.09
5700.0,174149.42,-5040661.05,-4866511.63,-8722274369.76
5725.0,0.0,-1161994.17,-1161994.17,-8786717364.46
5750.0,1966.54,-18643723.22,-18641756.67,-8805319432.39
5775.0,0.0,-3160840.99,-3160840.99,-8823921500.32
5800.0,0.0,-1504574.62,-1504574.62,-8787374506.78
5825.0,0.0,-1524098.79,-1524098.79,-8736728632.12
5850.0,467841.82,-537482.94,-69641.12,-8683040617.19
5875.0,4485.99,-418076.42,-413590.44,-8599328000.38
5900.0,11183.34,-2125522.77,-2114339.42,-8515615383.56
5925.0,0.0,-687378.9,-687378.9,-8435419027.61
5930.0,15330.51,-20785.61,-5455.1,-8420489009.85
5940.0,0.0,-104134.28,-104134.28,-8390628974.32
5950.0,6224.95,-508202.95,-501978.0,-8360768938.8
5960.0,0.0,-33542.2,-33542.2,-8330908903.27
5970.0,0.0,-41401.02,-41401.02,-8301048867.75
5975.0,5499.72,-1015938.36,-1010438.64,-8286118849.98
5980.0,0.0,-60755.13,-60755.13,-8271188832.22
5990.0,720127.32,-28625.03,691502.28,-8254745677.13
6000.0,10606657.55,-6067921.22,4538736.33,-8243782656.31
6010.0,0.0,-87851.36,-87851.36,-8232819635.48
6020.0,0.0,-61923.95,-61923.95,-8221856614.65
6025.0,0.0,-411552.41,-411552.41,-8216375104.24
6030.0,0.0,-52714.2,-52714.2,-8210893593.83
6040.0,0.0,-176371.9,-176371.9,-8199930573.0
6050.0,429489.97,-3647422.17,-3217932.2,-8188967552.17
6060.0,0.0,-125292.84,-125292.84,-8205466143.8
6070.0,0.0,-57849.12,-57849.12,-8223440543.89
6075.0,0.0,-1792371.38,-1792371.38,-8232427743.94
6080.0,0.0,-451191.38,-451191.38,-8241414943.98
6090.0,0.0,-3617360.03,-3617360.03,-8259389344.08
6100.0,0.0,-7692581.85,-7692581.85,-8277363744.17
6110.0,0.0,-87611.74,-87611.74,-8295338144.26
6120.0,0.0,-149136.44,-149136.44,-8319580711.83
6125.0,149330.71,-1157293.85,-1007963.15,-8345150365.51
6130.0,0.0,-79009.17,-79009.17,-8370720019.19
