strike,call_gex,put_gex,net_gex,gex_profile
2800.0,0.0,-340.32,-340.32,
3000.0,0.0,-137.78,-137.78,
3200.0,0.0,-269.04,-269.04,
3400.0,0.0,-506.0,-506.0,-32309491.92
3600.0,0.0,-3234.62,-3234.62,-49357797.56
3800.0,0.0,-44445.2,-44445.2,-67186557.19
4000.0,0.0,-71633.41,-71633.41,-85633081.66
4200.0,0.0,-118962.81,-118962.81,-109743399.33
4400.0,0.0,-20174.44,-20174.44,-147485390.95
4600.0,0.0,-20335.3,-20335.3,-201834622.46
4800.0,0.0,-121235.26,-121235.26,-272857476.8
5000.0,0.0,-533747.74,-533747.74,-389970932.45
5200.0,0.0,-290036.81,-290036.81,-622451932.61
5300.0,0.0,-71687.16,-71687.16,-785717197.92
5400.0,0.0,-214641.11,-214641.11,-964016933.9
5500.0,0.0,-1171488.84,-1171488.84,-1145059108.14
5600.0,0.0,-4141861.65,-4141861.65,-1346499885.64
5625.0,0.0,-78378.52,-78378.52,-1402129444.9
5650.0,0.0,-251497.6,-251497.6,-1471748032.7
5675.0,0.0,-6811.58,-6811.58,-1541366620.51
5700.0,0.0,-718511.24,-718511.24,-1620356693.58
5725.0,0.0,-66294.3,-66294.3,-1712788049.81
5750.0,0.0,-220222.12,-220222.12,-1805219406.04
5775.0,0.0,-89806.39,-89806.39,-1917988824.01
5800.0,0.0,-921400.38,-921400.38,-2037581053.27
5825.0,0.0,-138270.89,-138270.89,-2159451237.18
5850.0,0.0,-274697.23,-274697.23,-2305166799.5
5875.0,0.0,-210895.28,-210895.28,-2450882361.81
5900.0,0.0,-3875795.27,-3875795.27,-2606109946.91
5925.0,0.0,-408556.71,-408556.71,-2774196211.9
5950.0,0.0,-306010.57,-306010.57,-2942282476.9
5975.0,0.0,-438722.21,-438722.21,-3128856988.67
5990.0,0.0,-845676.99,-845676.99,-3244243532.86
6000.0,0.0,-18947579.14,-18947579.14,-3321167895.66
6010.0,0.0,-128167.39,-128167.39,-3398092258.46
6020.0,0.0,-426032.71,-426032.71,-3475016621.25
6025.0,0.0,-1926201.5,-1926201.5,-3517453240.2
6030.0,0.0,-298835.61,-298835.61,-3563739117.57
6040.0,0.0,-51597.18,-51597.18,-3656310872.3
6050.0,0.0,-8012844.99,-8012844.99,-3748882627.04
6060.0,0.0,-218297.99,-218297.99,-3841454381.77
6070.0,0.0,-296236.23,-296236.23,-3934026136.51
6075.0,0.0,-1480166.67,-1480166.67,-3980312013.88
6080.0,0.0,-284687.63,-284687.63,-4026597891.24
6090.0,0.0,-235491.33,-235491.33,-4121426494.14
