strike,call_gex,put_gex,net_gex,gex_profile
2800.0,0.0,-326.21,-326.21,
3000.0,0.0,-13987.29,-13987.29,
3200.0,0.0,-13795.64,-13795.64,
3400.0,0.0,-28147.21,-28147.21,-60186207.62
3600.0,0.0,-37471.19,-37471.19,-71281524.29
3800.0,0.0,-65279.49,-65279.49,-79349289.99
4000.0,0.0,-61529.79,-61529.79,-85286712.75
4200.0,0.0,-20329.54,-20329.54,-93273024.21
4400.0,0.0,-16723.27,-16723.27,-112142551.95
4600.0,0.0,-41300.11,-41300.11,-154285786.04
4800.0,0.0,-73665.18,-73665.18,-232351995.6
5000.0,905.07,-101752.54,-100847.47,-364033117.78
5200.0,0.0,-694362.43,-694362.43,-587069641.54
5400.0,0.0,-409745.9,-409745.9,-942351277.94
5500.0,0.0,-651976.94,-651976.94,-1162530048.6
5600.0,1992.87,-1425704.96,-1423712.09,-1393494847.74
5700.0,0.0,-880105.03,-880105.03,-1624995848.06
5725.0,0.0,-22103.64,-22103.64,-1683019280.42
5750.0,0.0,-51813.18,-51813.18,-1741138887.14
5775.0,0.0,-214517.77,-214517.77,-1802284863.59
5800.0,0.0,-4519493.23,-4519493.23,-1863430840.04
5825.0,0.0,-204474.65,-204474.65,-1927412554.04
5850.0,0.0,-222864.75,-222864.75,-1997729738.62
5875.0,0.0,-127492.47,-127492.47,-2068046923.2
5900.0,0.0,-708560.55,-708560.55,-2149378943.09
5925.0,0.0,-196852.6,-196852.6,-2238441592.81
5950.0,0.0,-338325.02,-338325.02,-2327504242.53
5975.0,0.0,-207639.78,-207639.78,-2445096862.05
6000.0,0.0,-3029138.09,-3029138.09,-2567104049.64
6025.0,0.0,-441849.74,-441849.74,-2697183376.67
6050.0,0.0,-683852.19,-683852.19,-2875091806.9
6075.0,0.0,-2962397.89,-2962397.89,-3053000237.12
6100.0,0.0,-1126352.9,-1126352.9,-3270832071.83
6110.0,0.0,-33190.86,-33190.86,-3379765930.67
6120.0,0.0,-159881.59,-159881.59,-3488699789.51
6125.0,0.0,-491231.86,-491231.86,-3543166718.93
6130.0,0.0,-181495.81,-181495.81,-3597633648.35
6140.0,0.0,-191304.66,-191304.66,-3706567507.19
6150.0,0.0,-2879819.93,-2879819.93,-3815501366.03
6160.0,0.0,-170604.43,-170604.43,-3939304935.32
6170.0,0.0,-391465.5,-391465.5,-4106780961.28
6175.0,0.0,-912050.7,-912050.7,-4190518974.27
6180.0,0.0,-179686.49,-179686.49,-4274256987.25
6190.0,0.0,-335213.29,-335213.29,-4441733013.22
6200.0,0.0,-3010713.19,-3010713.19,-4609209039.19
6210.0,0.0,-148844.88,-148844.88,-4776685065.16
6220.0,0.0,-7209101.64,-7209101.64,-4944161091.13
6225.0,0.0,-10978680.83,-10978680.83,-5027899104.11
6230.0,0.0,-198812.51,-198812.51,-5143743504.37
6235.0,0.0,-380818.17,-380818.17,-5263155281.0
6240.0,0.0,-2102355.79,-2102355.79,-5382567057.62
6245.0,0.0,-522821.68,-522821.68,-5501978834.24
