strike,call_gex,put_gex,net_gex,gex_profile
2800.0,0.0,-38.29,-38.29,
3000.0,0.0,-4838.9,-4838.9,
3200.0,0.0,-3010.81,-3010.81,
3400.0,0.0,-40820.57,-40820.57,-46187291.41
3600.0,0.0,-35784.35,-35784.35,-60661570.29
3800.0,0.0,-7462.15,-7462.15,-76793937.98
4000.0,0.0,-36423.71,-36423.71,-93989351.09
4200.0,0.0,-112614.07,-112614.07,-111913361.31
4400.0,0.0,-37814.5,-37814.5,-130891935.05
4600.0,0.0,-104665.09,-104665.09,-153395498.57
4800.0,0.0,-100658.78,-100658.78,-193256414.69
5000.0,0.0,-168004.0,-168004.0,-296444942.8
5200.0,0.0,-203770.77,-203770.77,-528173414.93
5400.0,257.84,-268679.86,-268422.02,-876403294.91
5500.0,477.51,-1037050.24,-1036572.73,-1056167207.54
5600.0,0.0,-2729039.16,-2729039.16,-1213097861.81
5700.0,0.0,-393292.79,-393292.79,-1341413684.63
5725.0,0.0,-34066.85,-34066.85,-1366209855.95
5750.0,0.0,-20476.63,-20476.63,-1391006027.26
5775.0,0.0,-217725.68,-217725.68,-1413771334.91
5800.0,0.0,-1484472.68,-1484472.68,-1433365498.88
5825.0,0.0,-61616.36,-61616.36,-1452959662.85
5850.0,0.0,-332891.38,-332891.38,-1469912263.19
5875.0,0.0,-150899.61,-150899.61,-1485695746.79
5900.0,0.0,-492361.07,-492361.07,-1501479230.4
5925.0,0.0,-238473.36,-238473.36,-1516448328.53
5950.0,0.0,-402265.37,-402265.37,-1531414156.05
5975.0,0.0,-582232.24,-582232.24,-1547844728.4
6000.0,0.0,-3991300.1,-3991300.1,-1567712647.08
6025.0,0.0,-373673.93,-373673.93,-1587580565.76
6050.0,0.0,-985064.27,-985064.27,-1616609576.57
6075.0,0.0,-1191787.76,-1191787.76,-1651705374.46
6100.0,0.0,-1954635.18,-1954635.18,-1686801172.35
6110.0,0.0,-92784.8,-92784.8,-1711246645.91
6120.0,0.0,-96961.8,-96961.8,-1738960595.03
6125.0,0.0,-785431.56,-785431.56,-1752817569.59
6130.0,0.0,-49983.28,-49983.28,-1766674544.16
6140.0,0.0,-14396.3,-14396.3,-1794388493.28
6150.0,0.0,-2798217.86,-2798217.86,-1822102442.4
6160.0,0.0,-197247.14,-197247.14,-1849816391.52
6170.0,0.0,-174234.24,-174234.24,-1878042217.01
6175.0,0.0,-1698615.18,-1698615.18,-1906117979.62
6180.0,0.0,-151209.93,-151209.93,-1934193742.23
6190.0,0.0,-72261.02,-72261.02,-1990345267.45
6200.0,0.0,-2642926.3,-2642926.3,-2046496792.67
6210.0,0.0,-268642.06,-268642.06,-2102648317.89
6220.0,0.0,-42733.26,-42733.26,-2158799843.11
6225.0,0.0,-5536587.26,-5536587.26,-2186875605.72
6230.0,0.0,-133068.03,-133068.03,-2214951368.33
6235.0,0.0,-382181.37,-382181.37,-2243027130.94
6240.0,0.0,-782679.6,-782679.6,-2285630487.13
6245.0,0.0,-409262.01,-409262.01,-2340120056.26
6250.0,0.0,-3439342.55,-3439342.55,-2394609625.39
6255.0,0.0,-1028173.06,-1028173.06,-2449099194.52
6260.0,0.0,-396953.43,-396953.43,-2503588763.65
6265.0,0.0,-494982.94,-494982.94,-2558078332.78
6270.0,0.0,-683703.16,-683703.16,-2612567901.91
6275.0,0.0,-3545578.0,-3545578.0,-2667057471.04
6280.0,0.0,-706020.02,-706020.02,-2721547040.17
6285.0,0.0,-319722.79,-319722.79,-2776036609.3
6290.0,0.0,-314643.54,-314643.54,-2830526178.43
6295.0,0.0,-669285.21,-669285.21,-2885015747.56
6300.0,0.0,-5461730.59,-5461730.59,-2939505316.68
6305.0,0.0,-551348.31,-551348.31,-2996175891.45
6310.0,0.0,-1478721.97,-1478721.97,-3084743673.58
6315.0,0.0,-621508.98,-621508.98,-3173311455.71
6320.0,0.0,-401902.09,-401902.09,-3261879237.84
6325.0,0.0,-10128424.17,-10128424.17,-3350447019.97
6330.0,0.0,-374309.5,-374309.5,-3439014802.1
6335.0,0.0,-179066.05,-179066.05,-3527582584.23
6340.0,0.0,-2916786.21,-2916786.21,-3616150366.36
6345.0,0.0,-896187.67,-896187.67,-3704718148.5
6350.0,0.0,-11812158.6,-11812158.6,-3793285930.63
6355.0,0.0,-360254.01,-360254.01,-3881853712.76
6360.0,0.0,-2970133.71,-2970133.71,-3970421494.89
6365.0,0.0,-686240.82,-686240.82,-4058989277.02
6370.0,0.0,-1710338.32,-1710338.32,-4147557059.15
6375.0,0.0,-4083328.96,-4083328.96,-4244399106.91
6380.0,0.0,-2967642.51,-2967642.51,-4347282227.5
6385.0,0.0,-4182971.46,-4182971.46,-4450165348.09
6390.0,0.0,-14548683.89,-14548683.89,-4553048468.68
6395.0,0.0,-2486726.92,-2486726.92,-4655931589.27
6400.0,0.0,-32006485.16,-32006485.16,-4758814709.86
6405.0,0.0,-1145134.11,-1145134.11,-4861697830.45
6410.0,0.0,-18281143.0,-18281143.0,-4964580951.04
6415.0,0.0,-3366270.52,-3366270.52,-5067464071.63
6420.0,0.0,-4818472.23,-4818472.23,-5170347192.22
6425.0,0.0,-8197109.38,-8197109.38,-5273230312.81
6430.0,0.0,-12325188.25,-12325188.25,-5376113433.4
6435.0,0.0,-2203739.24,-2203739.24,-5478996553.99
6440.0,0.0,-11548001.4,-11548001.4,-5578654088.79
6445.0,0.0,-4764777.4,-4764777.4,-5646476494.22
6450.0,0.0,-28402843.61,-28402843.61,-5714298899.65
6455.0,0.0,-5078425.09,-5078425.09,-5782121305.09
6460.0,0.0,-3754674.32,-3754674.32,-5849943710.52
