strike,call_gex,put_gex,net_gex,gex_profile
2800.0,0.0,-348.41,-348.41,
3000.0,0.0,-338.31,-338.31,
3200.0,0.0,-515.14,-515.14,
3400.0,0.0,-80.4,-80.4,-10741748.45
3600.0,0.0,-1039.51,-1039.51,-18488044.05
3800.0,0.0,-15228.29,-15228.29,-32167053.81
4000.0,0.0,-20864.05,-20864.05,-55307874.61
4200.0,0.0,-10380.75,-10380.75,-90995786.03
4400.0,0.0,-13015.21,-13015.21,-139824806.28
4600.0,0.0,-231304.12,-231304.12,-197941780.61
4800.0,0.0,-121137.22,-121137.22,-260273266.7
5000.0,0.0,-470020.66,-470020.66,-332659313.61
5200.0,0.0,-203161.41,-203161.41,-440314209.88
5400.0,0.0,-487823.66,-487823.66,-625213192.21
5500.0,0.0,-381673.87,-381673.87,-775169918.57
5600.0,0.0,-1153043.27,-1153043.27,-982170466.81
5700.0,0.0,-1854933.63,-1854933.63,-1266275951.87
5750.0,0.0,0.0,0.0,-1431166732.08
5775.0,0.0,0.0,0.0,-1519543531.68
5800.0,0.0,-883566.59,-883566.59,-1608560280.13
5825.0,0.0,-168198.46,-168198.46,-1704275942.73
5850.0,0.0,-253400.53,-253400.53,-1799991605.32
5875.0,0.0,-277480.68,-277480.68,-1898208116.17
5900.0,0.0,-1096496.94,-1096496.94,-2000596266.08
5925.0,0.0,-516695.05,-516695.05,-2102984415.99
5950.0,0.0,-808693.62,-808693.62,-2212172791.34
5975.0,0.0,-6493874.47,-6493874.47,-2324833185.1
6000.0,0.0,-21945877.43,-21945877.43,-2437493578.87
6025.0,0.0,-1283909.01,-1283909.01,-2568596538.02
6050.0,0.0,-2248994.09,-2248994.09,-2700678335.93
6075.0,0.0,-1446925.93,-1446925.93,-2841044814.52
6100.0,0.0,-14053957.9,-14053957.9,-3008053596.75
6125.0,0.0,-3390295.29,-3390295.29,-3175062378.98
6150.0,0.0,-2296588.06,-2296588.06,-3372023025.83
6160.0,0.0,0.0,0.0,-3461655703.82
6170.0,0.0,0.0,0.0,-3551288381.82
6175.0,0.0,-4047615.84,-4047615.84,-3596104720.81
6180.0,0.0,0.0,0.0,-3640921059.81
6190.0,0.0,0.0,0.0,-3730553737.81
6200.0,0.0,-15158270.08,-15158270.08,-3820186415.8
6210.0,0.0,0.0,0.0,-3926944538.44
6220.0,0.0,0.0,0.0,-4048828524.63
6225.0,0.0,-9759918.28,-9759918.28,-4109770517.72
6230.0,0.0,0.0,0.0,-4170712510.81
6240.0,0.0,-1134829.52,-1134829.52,-4292596496.99
6250.0,0.0,-6520473.27,-6520473.27,-4414480483.18
6260.0,0.0,-1513832.23,-1513832.23,-4536364469.36
6270.0,0.0,-1377357.45,-1377357.45,-4658248455.54
6275.0,0.0,-8505509.12,-8505509.12,-4727656550.06
6280.0,0.0,-970394.03,-970394.03,-4805530746.0
6285.0,0.0,0.0,0.0,-4883404941.94
6290.0,0.0,-2687417.44,-2687417.44,-4961279137.88
6295.0,0.0,0.0,0.0,-5039153333.82
6300.0,13753.65,-45291108.67,-45277355.02,-5117027529.76
6305.0,0.0,0.0,0.0,-5194901725.71
6310.0,0.0,-8224508.71,-8224508.71,-5272775921.65
6315.0,0.0,0.0,0.0,-5350650117.59
6320.0,0.0,-2952815.65,-2952815.65,-5428524313.53
6325.0,0.0,-6503337.04,-6503337.04,-5506398509.47
