strike,call_gex,put_gex,net_gex,gex_profile
2800.0,0.0,-701.26,-701.26,
3000.0,0.0,-278.88,-278.88,
3200.0,0.0,-781.41,-781.41,
3400.0,0.0,-192.43,-192.43,-9627476.59
3600.0,0.0,-176.95,-176.95,-18364054.17
3800.0,0.0,-957.85,-957.85,-31261084.25
4000.0,0.0,-9275.92,-9275.92,-49372862.05
4200.0,0.0,-89596.49,-89596.49,-75299262.88
4400.0,275.96,-23618.96,-23343.0,-112411377.98
4600.0,0.0,-91238.95,-91238.95,-161086156.29
4800.0,0.0,-166915.15,-166915.15,-220336970.18
5000.0,1161.95,-414824.61,-413662.66,-316818608.01
5200.0,0.0,-282017.9,-282017.9,-531460568.28
5300.0,0.0,0.0,0.0,-694225600.84
5400.0,1181.36,-416388.29,-415206.93,-866583497.27
5500.0,2469.76,-669181.12,-666711.35,-1014727174.6
5600.0,0.0,-5395932.26,-5395932.26,-1121431118.63
5700.0,0.0,-1197876.39,-1197876.39,-1195683283.14
5725.0,0.0,-285834.76,-285834.76,-1213328473.57
5750.0,0.0,-150500.25,-150500.25,-1233268698.91
5775.0,0.0,-274017.51,-274017.51,-1253208924.25
5800.0,3808.95,-1764101.91,-1760292.96,-1275914061.45
5825.0,0.0,-272781.04,-272781.04,-1302201651.02
5850.0,0.0,-313326.02,-313326.02,-1328489240.6
5875.0,0.0,-350981.53,-350981.53,-1362858548.82
5900.0,0.0,-1934649.66,-1934649.66,-1399386532.01
5925.0,0.0,-724529.4,-724529.4,-1438479059.52
5950.0,0.0,-2125307.45,-2125307.45,-1492966036.46
5975.0,0.0,-1427259.97,-1427259.97,-1547453013.39
6000.0,49347999.35,-28413940.84,20934058.51,-1621125843.44
6025.0,0.0,-1841491.09,-1841491.09,-1714262806.48
6050.0,7492.31,-15134622.52,-15127130.21,-1807399769.52
6075.0,0.0,-1109374.76,-1109374.76,-1977808224.28
6080.0,0.0,0.0,0.0,-2014617144.35
6090.0,0.0,0.0,0.0,-2088234984.5
6100.0,128527.19,-6961851.53,-6833324.34,-2161852824.64
6110.0,0.0,-145613.71,-145613.71,-2235470664.78
