strike,call_gex,put_gex,net_gex,gex_profile
2800.0,0.0,-327.73,-327.73,
3000.0,0.0,-14057.01,-14057.01,
3200.0,0.0,-13872.79,-13872.79,
3400.0,0.0,-28324.4,-28324.4,-60274228.49
3600.0,0.0,-37725.66,-37725.66,-71418822.92
3800.0,0.0,-65751.8,-65751.8,-79483893.82
4000.0,0.0,-62030.46,-62030.46,-85334586.8
4200.0,0.0,-20514.49,-20514.49,-93118454.04
4400.0,101.78,-16888.86,-16787.08,-111700887.25
4600.0,0.0,-41759.01,-41759.01,-153606484.55
4800.0,0.0,-74590.05,-74590.05,-231544992.34
5000.0,495.45,-103249.97,-102754.53,-362883943.86
5200.0,0.0,-705943.03,-705943.03,-584632503.09
5400.0,86.43,-417731.16,-417644.73,-940475989.86
5500.0,0.0,-665503.98,-665503.98,-1163178302.89
5600.0,0.0,-1459210.68,-1459210.68,-1395533876.02
5700.0,0.0,-902671.58,-902671.58,-1625567869.22
5725.0,0.0,-22678.14,-22678.14,-1682555406.18
5750.0,0.0,-53178.13,-53178.13,-1740362852.71
5775.0,0.0,-220425.45,-220425.45,-1798723312.6
5800.0,0.0,-4650657.45,-4650657.45,-1857083772.5
5825.0,0.0,-210374.19,-210374.19,-1921394878.23
5850.0,0.0,-229450.92,-229450.92,-1986499043.75
5875.0,0.0,-131468.94,-131468.94,-2054226893.4
5900.0,0.0,-731218.03,-731218.03,-2134985498.84
5925.0,0.0,-203313.31,-203313.31,-2215744104.27
5950.0,0.0,-349729.72,-349729.72,-2309219895.24
5975.0,0.0,-215043.49,-215043.49,-2418064157.75
6000.0,0.0,-3140319.97,-3140319.97,-2526908420.27
6025.0,0.0,-459031.59,-459031.59,-2670047501.73
6050.0,0.0,-710888.55,-710888.55,-2825361708.61
6075.0,0.0,-3084157.19,-3084157.19,-2982513697.29
6100.0,0.0,-1010644.36,-1010644.36,-3217042636.85
6110.0,0.0,-34630.34,-34630.34,-3310854212.68
6120.0,0.0,-166879.8,-166879.8,-3404665788.5
6125.0,0.0,-513341.34,-513341.34,-3451571576.42
6130.0,0.0,-168017.36,-168017.36,-3498477364.33
6140.0,0.0,-177260.99,-177260.99,-3592288940.16
6150.0,0.0,-2411782.28,-2411782.28,-3727802905.68
6160.0,0.0,-178528.19,-178528.19,-3875703184.09
6170.0,0.0,-410292.72,-410292.72,-4023603462.5
6175.0,0.0,-956209.26,-956209.26,-4097553601.7
6180.0,0.0,-188633.48,-188633.48,-4171503740.91
6190.0,0.0,-318181.17,-318181.17,-4319404019.32
6200.0,0.0,-3161991.19,-3161991.19,-4467304297.73
6210.0,0.0,-143592.82,-143592.82,-4615204576.15
6220.0,0.0,-6966050.67,-6966050.67,-4840852630.16
6225.0,0.0,-10606899.65,-10606899.65,-4954308752.91
6230.0,0.0,-209586.25,-209586.25,-5067764875.65
6235.0,0.0,-401258.07,-401258.07,-5181220998.4
6240.0,0.0,-2058244.77,-2058244.77,-5294677121.14
6245.0,0.0,-512345.31,-512345.31,-5408133243.89
6250.0,0.0,-2228384.22,-2228384.22,-5521589366.63
6255.0,0.0,-159082.5,-159082.5,-5635045489.38
6260.0,0.0,-139128.74,-139128.74,-5748501612.12
6265.0,0.0,-171894.47,-171894.47,-5861957734.87
6270.0,0.0,-1564080.01,-1564080.01,-5975413857.61
6275.0,0.0,-6632982.84,-6632982.84,-6088869980.36
6280.0,0.0,-271352.18,-271352.18,-6217235015.53
6285.0,0.0,-427457.99,-427457.99,-6368531017.53
6290.0,0.0,-609293.2,-609293.2,-6519827019.53
6295.0,0.0,-176969.21,-176969.21,-6671123021.53
6300.0,0.0,-6318966.49,-6318966.49,-6822419023.53
6305.0,0.0,-206824.3,-206824.3,-6973715025.52
6310.0,0.0,-349916.44,-349916.44,-7125011027.52
6315.0,0.0,-353105.44,-353105.44,-7276307029.52
6320.0,0.0,-941824.53,-941824.53,-7427603031.52
6325.0,0.0,-16023019.33,-16023019.33,-7578899033.52
6330.0,0.0,-951289.46,-951289.46,-7730195035.52
