strike,call_gex,put_gex,net_gex,gex_profile
2000.0,68.87,0.0,68.87,
2200.0,98.71,-8.02,90.68,
2400.0,0.0,0.0,0.0,
2600.0,133.51,-316.57,-183.06,
2800.0,0.0,-928.77,-928.77,
3000.0,148.7,-15163.34,-15014.64,
3200.0,298.63,-24203.91,-23905.28,
3400.0,217.02,-30364.84,-30147.82,-100987915.68
3600.0,0.0,-30649.36,-30649.36,-148089194.77
3800.0,0.0,-37516.11,-37516.11,-205931707.07
4000.0,430.18,-145055.58,-144625.4,-275339470.91
4200.0,0.0,-359575.71,-359575.71,-361109870.29
4400.0,928.2,-148489.91,-147561.72,-473148215.33
4600.0,0.0,-172575.65,-172575.65,-636137966.2
4800.0,657.64,-843072.7,-842415.06,-921584167.87
5000.0,887095.38,-576144.66,310950.71,-1549315712.96
5100.0,3519.22,-148224.19,-144704.97,-2124648589.18
5200.0,790.18,-764962.14,-764171.96,-3016042104.89
5300.0,32379.63,-1854256.48,-1821876.85,-4186119859.31
5400.0,1137.92,-1098039.49,-1096901.57,-5598106144.33
5425.0,0.0,-42256.45,-42256.45,-5962598799.2
5450.0,5398.4,-1237244.01,-1231845.61,-6318456665.49
5475.0,0.0,-59630.92,-59630.92,-6665951705.05
5500.0,4849.0,-871821.37,-866972.38,-7013446744.61
5525.0,0.0,-21953.77,-21953.77,-7319325427.92
5550.0,0.0,-1399147.93,-1399147.93,-7615187271.15
5575.0,0.0,-151103.36,-151103.36,-7902610369.22
5600.0,5575.85,-1845622.51,-1840046.66,-8117641320.08
5625.0,2263.57,-139687.63,-137424.05,-8332672270.94
5650.0,393439.87,-20381919.66,-19988479.79,-8508893881.05
5675.0,0.0,-2770179.24,-2770179.24,-8627480148.14
5700.0,242828.43,-5084800.35,-4841971.92,-8746066415.24
5725.0,0.0,-1173368.39,-1173368.39,-8798822806.83
5750.0,3642.83,-18832149.14,-18828506.31,-8823473749.29
5775.0,0.0,-3193826.56,-3193826.56,-8848124691.76
5800.0,0.0,-1519601.96,-1519601.96,-8799904094.36
5825.0,0.0,-1541082.22,-1541082.22,-8751625153.06
5850.0,506382.02,-543228.09,-36846.08,-8692174703.98
5875.0,4091.87,-422704.56,-418612.7,-8606306570.93
5900.0,12462.82,-2151774.13,-2139311.32,-8520438437.88
5925.0,0.0,-695559.59,-695559.59,-8437516093.58
5930.0,19554.03,-21046.14,-1492.11,-8421331650.57
5940.0,0.0,-105477.71,-105477.71,-8388962764.54
5950.0,11593.85,-514481.88,-502888.03,-8356593878.51
5960.0,0.0,-34000.68,-34000.68,-8324224992.48
5970.0,0.0,-41944.3,-41944.3,-8291856106.45
5975.0,13820.29,-1029952.53,-1016132.24,-8275671663.43
5980.0,0.0,-61576.51,-61576.51,-8263742310.53
5990.0,1134341.83,-23783.68,1110558.15,-8249557570.29
6000.0,14034185.65,-6150166.11,7884019.54,-8235372830.05
6010.0,0.0,-89079.68,-89079.68,-8221188089.81
6020.0,0.0,-62760.04,-62760.04,-8207003349.57
6025.0,0.0,-417389.56,-417389.56,-8199910979.45
6030.0,0.0,-53449.17,-53449.17,-8192818609.33
6040.0,0.0,-178911.79,-178911.79,-8178633869.09
6050.0,543921.98,-3701654.23,-3157732.24,-8178770224.47
6060.0,0.0,-127216.08,-127216.08,-8194421100.1
6070.0,0.0,-58765.85,-58765.85,-8210071975.74
6075.0,0.0,-1820347.71,-1820347.71,-8217897413.56
6080.0,0.0,-458124.93,-458124.93,-8225722851.38
6090.0,0.0,-3671174.11,-3671174.11,-8241373727.01
6100.0,0.0,-7811019.59,-7811019.59,-8257024602.65
6110.0,0.0,-76574.9,-76574.9,-8272675478.29
6120.0,0.0,-130556.38,-130556.38,-8313861980.81
6125.0,245623.38,-1176808.7,-931185.32,-8339273938.52
6130.0,0.0,-80325.51,-80325.51,-8364685896.23
6140.0,943904.44,-413102.6,530801.84,-8415509811.66
6150.0,86666.26,-2809105.08,-2722438.82,-8466333727.09
6160.0,62854.39,-759862.55,-697008.15,-8517157642.51
6170.0,0.0,-359509.95,-359509.95,-8567981557.94
6175.0,111782.36,-2338952.5,-2227170.13,-8593393515.65
6180.0,34523.84,-1151624.77,-1117100.93,-8618805473.36
6190.0,62297.39,-911543.18,-849245.79,-8707561904.69
6200.0,501552.01,-21589830.13,-21088278.12,-8797451232.99
6210.0,37916.38,-1311679.89,-1273763.51,-8887340561.29
6220.0,137088.33,-832734.89,-695646.56,-8977229889.59
6225.0,0.0,-4276384.31,-4276384.31,-9022174553.74
6230.0,0.0,-872028.82,-872028.82,-9067119217.89
6240.0,31756.15,-2953373.06,-2921616.92,-9157008546.19
6250.0,303941.77,-13970187.93,-13666246.16,-9258904507.72
6260.0,19988.46,-2319851.3,-2299862.83,-9404123943.09
6270.0,0.0,-1991520.33,-1991520.33,-9549343378.46
6275.0,24458.97,-6977769.92,-6953310.95,-9621953096.14
6280.0,62272.76,-1852041.5,-1789768.73,-9694562813.82
6290.0,33515.22,-2849855.9,-2816340.68,-9839782249.19
6300.0,155365.36,-31262614.46,-31107249.1,-9985001684.56
6310.0,0.0,-18904133.39,-18904133.39,-10130221119.92
6320.0,29354.14,-3107421.1,-3078066.95,-10316270340.44
6325.0,102808.02,-12595665.86,-12492857.83,-10433068137.28
6330.0,15141.62,-3130816.05,-3115674.43,-10549865934.13
6335.0,0.0,-1494240.0,-1494240.0,-10666663730.97
6340.0,28551.49,-5149296.7,-5120745.2,-10783461527.82
6345.0,0.0,-1410435.96,-1410435.96,-10900259324.67
6350.0,45303.35,-20503799.69,-20458496.34,-11017057121.51
6355.0,0.0,-1180113.97,-1180113.97,-11133854918.36
6360.0,0.0,-6075586.99,-6075586.99,-11250652715.21
6365.0,0.0,-2084002.98,-2084002.98,-11367450512.05
6370.0,102749.19,-3831180.98,-3728431.78,-11484248308.9
6375.0,0.0,-13866820.69,-13866820.69,-11601046105.75
6380.0,0.0,-3108458.15,-3108458.15,-11717843902.59
6385.0,0.0,-1191557.1,-1191557.1,-11852474647.76
6390.0,0.0,-26358334.49,-26358334.49,-12012140108.83
6395.0,0.0,-6921119.56,-6921119.56,-12171805569.9
6400.0,323801.69,-82753182.34,-82429380.64,-12331471030.98
