strike,call_gex,put_gex,net_gex,gex_profile
2800.0,0.0,-63.52,-63.52,
3000.0,0.0,-13346.94,-13346.94,
3200.0,0.0,-7423.98,-7423.98,
3400.0,0.0,-2574.89,-2574.89,-30367971.64
3600.0,0.0,-8248.9,-8248.9,-45427466.91
3800.0,0.0,-23718.91,-23718.91,-65611029.47
4000.0,0.0,-10212.46,-10212.46,-91153359.68
4200.0,0.0,-103794.44,-103794.44,-123468041.09
4400.0,0.0,-132308.58,-132308.58,-163819539.37
4600.0,0.0,-28053.7,-28053.7,-210044318.1
4800.0,0.0,-216240.56,-216240.56,-262117831.18
5000.0,0.0,-422701.01,-422701.01,-344897215.1
5200.0,0.0,-183100.97,-183100.97,-509179577.68
5400.0,0.0,-135538.33,-135538.33,-747215273.43
5500.0,0.0,-578370.49,-578370.49,-857619159.73
5600.0,0.0,-1921467.88,-1921467.88,-937668850.22
5700.0,0.0,-1633231.47,-1633231.47,-991145433.14
5725.0,0.0,0.0,0.0,-1003292332.46
5750.0,0.0,-17999.35,-17999.35,-1015758774.29
5775.0,0.0,-1645.47,-1645.47,-1028225216.12
5800.0,0.0,-402766.9,-402766.9,-1046507436.5
5825.0,0.0,-285080.11,-285080.11,-1066028437.47
5850.0,0.0,-207344.51,-207344.51,-1087284116.77
5875.0,0.0,-258139.98,-258139.98,-1121165037.69
5900.0,0.0,-419844.98,-419844.98,-1155045958.62
5925.0,0.0,-196828.0,-196828.0,-1197713961.84
5950.0,0.0,-367997.7,-367997.7,-1252677133.96
5975.0,0.0,-128700.47,-128700.47,-1307640306.08
6000.0,0.0,-1066925.02,-1066925.02,-1382021030.73
6025.0,0.0,-408123.56,-408123.56,-1464210159.86
6050.0,0.0,-1307904.49,-1307904.49,-1546726724.96
6075.0,0.0,-1288596.97,-1288596.97,-1664506720.7
6100.0,0.0,-4021616.42,-4021616.42,-1782286716.43
6110.0,0.0,0.0,0.0,-1829398714.73
6120.0,0.0,0.0,0.0,-1881663860.38
6125.0,0.0,-1324254.71,-1324254.71,-1914979608.32
6130.0,0.0,0.0,0.0,-1948295356.25
6140.0,0.0,0.0,0.0,-2014926852.12
6150.0,0.0,-2068534.73,-2068534.73,-2081558347.99
6160.0,0.0,-201088.86,-201088.86,-2148189843.87
6170.0,0.0,-62303.35,-62303.35,-2214821339.74
6175.0,0.0,-1591258.77,-1591258.77,-2248137087.67
6180.0,0.0,-160411.69,-160411.69,-2281452835.61
6190.0,0.0,-26533.0,-26533.0,-2362147156.73
6200.0,0.0,-11325143.28,-11325143.28,-2456681083.65
6210.0,0.0,-308958.34,-308958.34,-2551215010.57
6220.0,0.0,-537013.77,-537013.77,-2645748937.5
6225.0,0.0,-16910363.48,-16910363.48,-2693015900.96
6230.0,0.0,-173606.55,-173606.55,-2740282864.42
6235.0,0.0,0.0,0.0,-2787549827.88
6240.0,0.0,-514299.38,-514299.38,-2834816791.34
6245.0,0.0,0.0,0.0,-2882083754.8
6250.0,0.0,-3179796.42,-3179796.42,-2929350718.26
6255.0,0.0,0.0,0.0,-2986893316.07
6260.0,0.0,-746760.36,-746760.36,-3055130961.85
6265.0,0.0,0.0,0.0,-3123368607.64
6270.0,0.0,-1234988.39,-1234988.39,-3191606253.43
6275.0,0.0,-2367111.51,-2367111.51,-3259843899.22
6280.0,0.0,-578307.38,-578307.38,-3328081545.0
6285.0,0.0,-365815.3,-365815.3,-3396319190.79
6290.0,0.0,-574834.18,-574834.18,-3464556836.58
6295.0,0.0,-798355.12,-798355.12,-3532794482.37
6300.0,0.0,-5885224.49,-5885224.49,-3601032128.16
6305.0,0.0,-938635.38,-938635.38,-3669269773.94
6310.0,0.0,-656339.04,-656339.04,-3737507419.73
6315.0,0.0,-433920.98,-433920.98,-3805745065.52
6320.0,0.0,-1201275.88,-1201275.88,-3873982711.31
6325.0,0.0,-5035437.73,-5035437.73,-3967525976.93
6330.0,0.0,-1059141.86,-1059141.86,-4061851890.58
